日期,指数代码,指数名称,市盈率,数据源
2024-04-03,682,科创信息,55.22,中证指数
2024-04-04,682,科创信息,55.22,中证指数
2024-04-05,682,科创信息,55.22,中证指数
2024-04-08,682,科创信息,54.15,中证指数
2024-04-09,682,科创信息,54.76,中证指数
2024-04-10,682,科创信息,53.71,中证指数
2024-04-11,682,科创信息,53.87,中证指数
2024-04-12,682,科创信息,54.27,中证指数
2024-04-15,682,科创信息,55.3,中证指数
2024-04-16,682,科创信息,54.03,中证指数
2024-04-17,682,科创信息,55.59,中证指数
2024-04-18,682,科创信息,55.25,中证指数
2024-04-19,682,科创信息,53.88,中证指数
2024-04-22,682,科创信息,54.13,中证指数
2024-04-23,682,科创信息,53.77,中证指数
2024-04-24,682,科创信息,55.04,中证指数
2024-04-25,682,科创信息,54.45,中证指数
2024-04-26,682,科创信息,55.96,中证指数
2024-04-29,682,科创信息,57.39,中证指数
2024-04-30,682,科创信息,56.62,中证指数
