日期,指数代码,指数名称,标签,市盈率,数据源
2016-10-18,930901,动漫游戏,主题，游戏,52.18,韭圈儿
2016-10-19,930901,动漫游戏,主题，游戏,52.07,韭圈儿
2016-10-20,930901,动漫游戏,主题，游戏,52.36,韭圈儿
2016-10-21,930901,动漫游戏,主题，游戏,51.52,韭圈儿
2016-10-24,930901,动漫游戏,主题，游戏,51.25,韭圈儿
2016-10-25,930901,动漫游戏,主题，游戏,50.06,韭圈儿
2016-10-26,930901,动漫游戏,主题，游戏,49.86,韭圈儿
2016-10-27,930901,动漫游戏,主题，游戏,49.53,韭圈儿
2016-10-28,930901,动漫游戏,主题，游戏,47.87,韭圈儿
2016-10-31,930901,动漫游戏,主题，游戏,45.02,韭圈儿
2016-11-01,930901,动漫游戏,主题，游戏,45.85,韭圈儿
2016-11-02,930901,动漫游戏,主题，游戏,45.96,韭圈儿
2016-11-03,930901,动漫游戏,主题，游戏,46.5,韭圈儿
2016-11-04,930901,动漫游戏,主题，游戏,47.86,韭圈儿
2016-11-07,930901,动漫游戏,主题，游戏,45.89,韭圈儿
2016-11-08,930901,动漫游戏,主题，游戏,46.64,韭圈儿
2016-11-09,930901,动漫游戏,主题，游戏,46.5,韭圈儿
2016-11-10,930901,动漫游戏,主题，游戏,47.15,韭圈儿
2016-11-11,930901,动漫游戏,主题，游戏,47.27,韭圈儿
2016-11-14,930901,动漫游戏,主题，游戏,47.65,韭圈儿
2016-11-15,930901,动漫游戏,主题，游戏,48.21,韭圈儿
2016-11-16,930901,动漫游戏,主题，游戏,48.28,韭圈儿
2016-11-17,930901,动漫游戏,主题，游戏,47.66,韭圈儿
2016-11-18,930901,动漫游戏,主题，游戏,47.18,韭圈儿
2016-11-21,930901,动漫游戏,主题，游戏,47.26,韭圈儿
2016-11-22,930901,动漫游戏,主题，游戏,47.74,韭圈儿
2016-11-23,930901,动漫游戏,主题，游戏,47.22,韭圈儿
2016-11-24,930901,动漫游戏,主题，游戏,46.87,韭圈儿
2016-11-25,930901,动漫游戏,主题，游戏,46.91,韭圈儿
2016-11-28,930901,动漫游戏,主题，游戏,46.43,韭圈儿
2016-11-29,930901,动漫游戏,主题，游戏,46.2,韭圈儿
2016-11-30,930901,动漫游戏,主题，游戏,46.13,韭圈儿
2016-12-01,930901,动漫游戏,主题，游戏,46.53,韭圈儿
2016-12-02,930901,动漫游戏,主题，游戏,45.94,韭圈儿
2016-12-05,930901,动漫游戏,主题，游戏,45.26,韭圈儿
2016-12-06,930901,动漫游戏,主题，游戏,44.9,韭圈儿
2016-12-07,930901,动漫游戏,主题，游戏,45.25,韭圈儿
2016-12-08,930901,动漫游戏,主题，游戏,44.85,韭圈儿
2016-12-09,930901,动漫游戏,主题，游戏,44.6,韭圈儿
2016-12-12,930901,动漫游戏,主题，游戏,42.19,韭圈儿
2016-12-13,930901,动漫游戏,主题，游戏,42.14,韭圈儿
2016-12-14,930901,动漫游戏,主题，游戏,41.78,韭圈儿
2016-12-15,930901,动漫游戏,主题，游戏,42.12,韭圈儿
2016-12-16,930901,动漫游戏,主题，游戏,42.82,韭圈儿
2016-12-19,930901,动漫游戏,主题，游戏,42.38,韭圈儿
2016-12-20,930901,动漫游戏,主题，游戏,42.82,韭圈儿
2016-12-21,930901,动漫游戏,主题，游戏,43.49,韭圈儿
2016-12-22,930901,动漫游戏,主题，游戏,43.27,韭圈儿
2016-12-23,930901,动漫游戏,主题，游戏,43.25,韭圈儿
2016-12-26,930901,动漫游戏,主题，游戏,42.82,韭圈儿
2016-12-27,930901,动漫游戏,主题，游戏,42.44,韭圈儿
2016-12-28,930901,动漫游戏,主题，游戏,42.0,韭圈儿
2016-12-29,930901,动漫游戏,主题，游戏,41.91,韭圈儿
2016-12-30,930901,动漫游戏,主题，游戏,41.98,韭圈儿
2017-01-03,930901,动漫游戏,主题，游戏,42.31,韭圈儿
2017-01-04,930901,动漫游戏,主题，游戏,42.88,韭圈儿
2017-01-05,930901,动漫游戏,主题，游戏,43.38,韭圈儿
2017-01-06,930901,动漫游戏,主题，游戏,42.99,韭圈儿
2017-01-09,930901,动漫游戏,主题，游戏,42.83,韭圈儿
2017-01-10,930901,动漫游戏,主题，游戏,42.74,韭圈儿
2017-01-11,930901,动漫游戏,主题，游戏,42.3,韭圈儿
2017-01-12,930901,动漫游戏,主题，游戏,42.01,韭圈儿
2017-01-13,930901,动漫游戏,主题，游戏,41.59,韭圈儿
2017-01-16,930901,动漫游戏,主题，游戏,40.28,韭圈儿
2017-01-17,930901,动漫游戏,主题，游戏,40.97,韭圈儿
2017-01-18,930901,动漫游戏,主题，游戏,40.64,韭圈儿
2017-01-19,930901,动漫游戏,主题，游戏,40.61,韭圈儿
2017-01-20,930901,动漫游戏,主题，游戏,41.29,韭圈儿
2017-01-23,930901,动漫游戏,主题，游戏,41.49,韭圈儿
2017-01-24,930901,动漫游戏,主题，游戏,41.0,韭圈儿
2017-01-25,930901,动漫游戏,主题，游戏,41.34,韭圈儿
2017-01-26,930901,动漫游戏,主题，游戏,41.77,韭圈儿
2017-02-03,930901,动漫游戏,主题，游戏,41.4,韭圈儿
2017-02-06,930901,动漫游戏,主题，游戏,41.59,韭圈儿
2017-02-07,930901,动漫游戏,主题，游戏,41.4,韭圈儿
2017-02-08,930901,动漫游戏,主题，游戏,41.6,韭圈儿
2017-02-09,930901,动漫游戏,主题，游戏,41.69,韭圈儿
2017-02-10,930901,动漫游戏,主题，游戏,41.48,韭圈儿
2017-02-13,930901,动漫游戏,主题，游戏,41.81,韭圈儿
2017-02-14,930901,动漫游戏,主题，游戏,41.94,韭圈儿
2017-02-15,930901,动漫游戏,主题，游戏,41.23,韭圈儿
2017-02-16,930901,动漫游戏,主题，游戏,40.96,韭圈儿
2017-02-17,930901,动漫游戏,主题，游戏,41.15,韭圈儿
2017-02-20,930901,动漫游戏,主题，游戏,41.48,韭圈儿
2017-02-21,930901,动漫游戏,主题，游戏,42.07,韭圈儿
2017-02-22,930901,动漫游戏,主题，游戏,42.61,韭圈儿
2017-02-23,930901,动漫游戏,主题，游戏,42.84,韭圈儿
2017-02-24,930901,动漫游戏,主题，游戏,43.59,韭圈儿
2017-02-27,930901,动漫游戏,主题，游戏,43.56,韭圈儿
2017-02-28,930901,动漫游戏,主题，游戏,45.47,韭圈儿
2017-03-01,930901,动漫游戏,主题，游戏,45.69,韭圈儿
2017-03-02,930901,动漫游戏,主题，游戏,45.3,韭圈儿
2017-03-03,930901,动漫游戏,主题，游戏,45.04,韭圈儿
2017-03-06,930901,动漫游戏,主题，游戏,45.76,韭圈儿
2017-03-07,930901,动漫游戏,主题，游戏,45.82,韭圈儿
2017-03-08,930901,动漫游戏,主题，游戏,45.42,韭圈儿
2017-03-09,930901,动漫游戏,主题，游戏,45.14,韭圈儿
2017-03-10,930901,动漫游戏,主题，游戏,44.72,韭圈儿
2017-03-13,930901,动漫游戏,主题，游戏,44.89,韭圈儿
2017-03-14,930901,动漫游戏,主题，游戏,44.81,韭圈儿
2017-03-15,930901,动漫游戏,主题，游戏,44.6,韭圈儿
2017-03-16,930901,动漫游戏,主题，游戏,44.67,韭圈儿
2017-03-17,930901,动漫游戏,主题，游戏,43.86,韭圈儿
2017-03-20,930901,动漫游戏,主题，游戏,43.91,韭圈儿
2017-03-21,930901,动漫游戏,主题，游戏,43.7,韭圈儿
2017-03-22,930901,动漫游戏,主题，游戏,43.41,韭圈儿
2017-03-23,930901,动漫游戏,主题，游戏,43.3,韭圈儿
2017-03-24,930901,动漫游戏,主题，游戏,43.6,韭圈儿
2017-03-27,930901,动漫游戏,主题，游戏,43.55,韭圈儿
2017-03-28,930901,动漫游戏,主题，游戏,43.37,韭圈儿
2017-03-29,930901,动漫游戏,主题，游戏,43.39,韭圈儿
2017-03-30,930901,动漫游戏,主题，游戏,43.11,韭圈儿
2017-03-31,930901,动漫游戏,主题，游戏,43.32,韭圈儿
2017-04-05,930901,动漫游戏,主题，游戏,43.62,韭圈儿
2017-04-06,930901,动漫游戏,主题，游戏,43.47,韭圈儿
2017-04-07,930901,动漫游戏,主题，游戏,43.13,韭圈儿
2017-04-10,930901,动漫游戏,主题，游戏,42.67,韭圈儿
2017-04-11,930901,动漫游戏,主题，游戏,42.38,韭圈儿
2017-04-12,930901,动漫游戏,主题，游戏,41.82,韭圈儿
2017-04-13,930901,动漫游戏,主题，游戏,41.47,韭圈儿
2017-04-14,930901,动漫游戏,主题，游戏,40.94,韭圈儿
2017-04-17,930901,动漫游戏,主题，游戏,40.44,韭圈儿
2017-04-18,930901,动漫游戏,主题，游戏,39.95,韭圈儿
2017-04-19,930901,动漫游戏,主题，游戏,40.0,韭圈儿
2017-04-20,930901,动漫游戏,主题，游戏,40.43,韭圈儿
2017-04-21,930901,动漫游戏,主题，游戏,40.87,韭圈儿
2017-04-24,930901,动漫游戏,主题，游戏,40.15,韭圈儿
2017-04-25,930901,动漫游戏,主题，游戏,39.99,韭圈儿
2017-04-26,930901,动漫游戏,主题，游戏,39.68,韭圈儿
2017-04-27,930901,动漫游戏,主题，游戏,40.0,韭圈儿
2017-04-28,930901,动漫游戏,主题，游戏,39.01,韭圈儿
2017-05-02,930901,动漫游戏,主题，游戏,37.41,韭圈儿
2017-05-03,930901,动漫游戏,主题，游戏,37.1,韭圈儿
2017-05-04,930901,动漫游戏,主题，游戏,36.87,韭圈儿
2017-05-05,930901,动漫游戏,主题，游戏,36.5,韭圈儿
2017-05-08,930901,动漫游戏,主题，游戏,36.4,韭圈儿
2017-05-09,930901,动漫游戏,主题，游戏,36.7,韭圈儿
2017-05-10,930901,动漫游戏,主题，游戏,36.08,韭圈儿
2017-05-11,930901,动漫游戏,主题，游戏,35.69,韭圈儿
2017-05-12,930901,动漫游戏,主题，游戏,35.33,韭圈儿
2017-05-15,930901,动漫游戏,主题，游戏,35.41,韭圈儿
2017-05-16,930901,动漫游戏,主题，游戏,35.76,韭圈儿
2017-05-17,930901,动漫游戏,主题，游戏,36.4,韭圈儿
2017-05-18,930901,动漫游戏,主题，游戏,36.31,韭圈儿
2017-05-19,930901,动漫游戏,主题，游戏,36.18,韭圈儿
2017-05-22,930901,动漫游戏,主题，游戏,35.83,韭圈儿
2017-05-23,930901,动漫游戏,主题，游戏,35.12,韭圈儿
2017-05-24,930901,动漫游戏,主题，游戏,35.33,韭圈儿
2017-05-25,930901,动漫游戏,主题，游戏,35.47,韭圈儿
2017-05-26,930901,动漫游戏,主题，游戏,35.45,韭圈儿
2017-05-31,930901,动漫游戏,主题，游戏,35.28,韭圈儿
2017-06-01,930901,动漫游戏,主题，游戏,34.77,韭圈儿
2017-06-02,930901,动漫游戏,主题，游戏,35.24,韭圈儿
2017-06-05,930901,动漫游戏,主题，游戏,35.6,韭圈儿
2017-06-06,930901,动漫游戏,主题，游戏,35.74,韭圈儿
2017-06-07,930901,动漫游戏,主题，游戏,36.83,韭圈儿
2017-06-08,930901,动漫游戏,主题，游戏,36.94,韭圈儿
2017-06-09,930901,动漫游戏,主题，游戏,37.34,韭圈儿
2017-06-12,930901,动漫游戏,主题，游戏,38.06,韭圈儿
2017-06-13,930901,动漫游戏,主题，游戏,38.53,韭圈儿
2017-06-14,930901,动漫游戏,主题，游戏,38.18,韭圈儿
2017-06-15,930901,动漫游戏,主题，游戏,38.57,韭圈儿
2017-06-16,930901,动漫游戏,主题，游戏,38.51,韭圈儿
