日期,指数代码,指数名称,标签,市盈率,数据源
2024-04-30,CN6052,金属指数,商品，有色金属,22.9777,国证指数
2024-05-10,CN6052,金属指数,行业，资源，有色金属,23.7171,国证指数
2024-05-16,CN6052,金属指数,行业，资源，有色金属,23.527,国证指数
2024-05-17,CN6052,金属指数,行业，资源，有色金属,23.7509,国证指数
2024-05-23,CN6052,金属指数,行业，资源，有色金属,23.1228,国证指数
2024-05-24,CN6052,金属指数,行业，资源，有色金属,23.1228,国证指数
2024-05-28,CN6052,金属指数,行业，资源，有色金属,22.9073,国证指数
2024-05-29,CN6052,金属指数,行业，资源，有色金属,23.0498,国证指数
2024-05-31,CN6052,金属指数,行业，资源，有色金属,22.7864,国证指数
2024-06-07,CN6052,金属指数,行业，资源，有色金属,21.8896,国证指数
2024-06-11,CN6052,金属指数,行业，资源，有色金属,21.9732,国证指数
2024-06-12,CN6052,金属指数,行业，资源，有色金属,22.0101,国证指数
2024-06-13,CN6052,金属指数,行业，资源，有色金属,21.9241,国证指数
2024-06-14,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-17,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-18,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-19,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-20,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-21,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-24,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-25,CN6052,金属指数,行业，资源，有色金属,22.0586,国证指数
2024-06-26,CN6052,金属指数,行业，资源，有色金属,20.842,国证指数
2024-06-27,CN6052,金属指数,行业，资源，有色金属,21.1504,国证指数
2024-06-28,CN6052,金属指数,行业，资源，有色金属,20.7357,国证指数
2024-07-01,CN6052,金属指数,行业，资源，有色金属,20.7657,国证指数
2024-07-02,CN6052,金属指数,行业，资源，有色金属,21.1222,国证指数
2024-07-03,CN6052,金属指数,行业，资源，有色金属,20.8836,国证指数
2024-07-04,CN6052,金属指数,行业，资源，有色金属,20.4846,国证指数
2024-07-05,CN6052,金属指数,行业，资源，有色金属,20.1706,国证指数
2024-07-08,CN6052,金属指数,行业，资源，有色金属,20.2493,国证指数
2024-07-09,CN6052,金属指数,行业，资源，有色金属,19.8702,国证指数
2024-07-10,CN6052,金属指数,行业，资源，有色金属,20.1731,国证指数
2024-07-11,CN6052,金属指数,行业，资源，有色金属,19.9858,国证指数
2024-07-12,CN6052,金属指数,行业，资源，有色金属,20.5375,国证指数
2024-07-15,CN6052,金属指数,行业，资源，有色金属,20.6076,国证指数
2024-07-16,CN6052,金属指数,行业，资源，有色金属,20.4033,国证指数
2024-07-17,CN6052,金属指数,行业，资源，有色金属,20.3326,国证指数
2024-07-18,CN6052,金属指数,行业，资源，有色金属,19.9434,国证指数
2024-07-19,CN6052,金属指数,行业，资源，有色金属,20.013,国证指数
2024-07-22,CN6052,金属指数,行业，资源，有色金属,20.0179,国证指数
2024-07-23,CN6052,金属指数,行业，资源，有色金属,20.0841,国证指数
2024-07-24,CN6052,金属指数,行业，资源，有色金属,19.5625,国证指数
2024-07-25,CN6052,金属指数,行业，资源，有色金属,19.3864,国证指数
2024-07-26,CN6052,金属指数,行业，资源，有色金属,19.4662,国证指数
2024-07-29,CN6052,金属指数,行业，资源，有色金属,19.7234,国证指数
2024-07-30,CN6052,金属指数,行业，资源，有色金属,19.5752,国证指数
2024-07-31,CN6052,金属指数,行业，资源，有色金属,19.5074,国证指数
2024-08-01,CN6052,金属指数,行业，资源，有色金属,20.2825,国证指数
2024-08-02,CN6052,金属指数,行业，资源，有色金属,20.1295,国证指数
2024-08-05,CN6052,金属指数,行业，资源，有色金属,19.8122,国证指数
2024-08-06,CN6052,金属指数,行业，资源，有色金属,19.3765,国证指数
2024-08-07,CN6052,金属指数,行业，资源，有色金属,19.6642,国证指数
2024-08-08,CN6052,金属指数,行业，资源，有色金属,19.5799,国证指数
2024-08-09,CN6052,金属指数,行业，资源，有色金属,19.4961,国证指数
2024-08-12,CN6052,金属指数,行业，资源，有色金属,19.4599,国证指数
2024-08-13,CN6052,金属指数,行业，资源，有色金属,19.4599,国证指数
2024-08-14,CN6052,金属指数,行业，资源，有色金属,19.6019,国证指数
2024-08-15,CN6052,金属指数,行业，资源，有色金属,19.3492,国证指数
2024-08-16,CN6052,金属指数,行业，资源，有色金属,19.4076,国证指数
2024-08-19,CN6052,金属指数,行业，资源，有色金属,19.2689,国证指数
2024-08-20,CN6052,金属指数,行业，资源，有色金属,19.2605,国证指数
2024-08-21,CN6052,金属指数,行业，资源，有色金属,18.9761,国证指数
2024-08-22,CN6052,金属指数,行业，资源，有色金属,18.8666,国证指数
2024-08-23,CN6052,金属指数,行业，资源，有色金属,18.7425,国证指数
2024-08-26,CN6052,金属指数,行业，资源，有色金属,18.7232,国证指数
2024-08-27,CN6052,金属指数,行业，资源，有色金属,18.9838,国证指数
2024-08-28,CN6052,金属指数,行业，资源，有色金属,18.7214,国证指数
2024-08-29,CN6052,金属指数,行业，资源，有色金属,18.8563,国证指数
2024-08-30,CN6052,金属指数,行业，资源，有色金属,19.1931,国证指数
2024-09-02,CN6052,金属指数,行业，资源，有色金属,19.5496,国证指数
2024-09-03,CN6052,金属指数,行业，资源，有色金属,19.4819,国证指数
2024-09-04,CN6052,金属指数,行业，资源，有色金属,19.8163,国证指数
2024-09-05,CN6052,金属指数,行业，资源，有色金属,19.7775,国证指数
2024-09-06,CN6052,金属指数,行业，资源，有色金属,19.8208,国证指数
2024-09-09,CN6052,金属指数,行业，资源，有色金属,19.4405,国证指数
2024-09-10,CN6052,金属指数,行业，资源，有色金属,19.2482,国证指数
2024-09-11,CN6052,金属指数,行业，资源，有色金属,19.2818,国证指数
2024-09-12,CN6052,金属指数,行业，资源，有色金属,19.5166,国证指数
2024-09-13,CN6052,金属指数,行业，资源，有色金属,19.402,国证指数
2024-09-18,CN6052,金属指数,行业，资源，有色金属,19.0994,国证指数
2024-09-19,CN6052,金属指数,行业，资源，有色金属,19.152,国证指数
2024-09-20,CN6052,金属指数,行业，资源，有色金属,19.3792,国证指数
2024-09-23,CN6052,金属指数,行业，资源，有色金属,19.2062,国证指数
2024-09-24,CN6052,金属指数,行业，资源，有色金属,19.1109,国证指数
2024-09-25,CN6052,金属指数,行业，资源，有色金属,19.8376,国证指数
2024-09-26,CN6052,金属指数,行业，资源，有色金属,19.9547,国证指数
2024-09-27,CN6052,金属指数,行业，资源，有色金属,20.6679,国证指数
2024-09-30,CN6052,金属指数,商品，有色金属,21.6726,国证指数
2024-10-08,CN6052,金属指数,商品，有色金属,23.9695,国证指数
2024-10-09,CN6052,金属指数,商品，有色金属,25.5952,国证指数
2024-10-10,CN6052,金属指数,商品，有色金属,23.7148,国证指数
2024-10-11,CN6052,金属指数,商品，有色金属,23.8213,国证指数
2024-10-14,CN6052,金属指数,商品，有色金属,22.9608,国证指数
2024-10-15,CN6052,金属指数,商品，有色金属,23.484,国证指数
2024-10-16,CN6052,金属指数,商品，有色金属,22.9266,国证指数
2024-10-17,CN6052,金属指数,商品，有色金属,22.7752,国证指数
2024-10-18,CN6052,金属指数,商品，有色金属,22.5546,国证指数
2024-10-21,CN6052,金属指数,商品，有色金属,23.3576,国证指数
2024-10-22,CN6052,金属指数,商品，有色金属,23.6136,国证指数
2024-10-23,CN6052,金属指数,商品，有色金属,23.9993,国证指数
2024-10-24,CN6052,金属指数,商品，有色金属,24.1126,国证指数
2024-10-25,CN6052,金属指数,商品，有色金属,23.8209,国证指数
