日期,指数代码,指数名称,市盈率,数据源
2009-01-02,FCHI,法国CAC40,13.98,韭圈儿
2009-01-05,FCHI,法国CAC40,14.02,韭圈儿
2009-01-06,FCHI,法国CAC40,14.18,韭圈儿
2009-01-07,FCHI,法国CAC40,13.97,韭圈儿
2009-01-08,FCHI,法国CAC40,13.88,韭圈儿
2009-01-09,FCHI,法国CAC40,13.77,韭圈儿
2009-01-12,FCHI,法国CAC40,13.55,韭圈儿
2009-01-13,FCHI,法国CAC40,13.35,韭圈儿
2009-01-14,FCHI,法国CAC40,12.74,韭圈儿
2009-01-15,FCHI,法国CAC40,12.5,韭圈儿
2009-01-16,FCHI,法国CAC40,12.59,韭圈儿
2009-01-19,FCHI,法国CAC40,12.48,韭圈儿
2009-01-20,FCHI,法国CAC40,12.21,韭圈儿
2009-01-21,FCHI,法国CAC40,12.13,韭圈儿
2009-01-22,FCHI,法国CAC40,11.98,韭圈儿
2009-01-23,FCHI,法国CAC40,11.89,韭圈儿
2009-01-26,FCHI,法国CAC40,12.34,韭圈儿
2009-01-27,FCHI,法国CAC40,12.33,韭圈儿
2009-01-28,FCHI,法国CAC40,12.84,韭圈儿
2009-01-29,FCHI,法国CAC40,12.56,韭圈儿
2009-01-30,FCHI,法国CAC40,12.41,韭圈儿
2009-02-02,FCHI,法国CAC40,12.23,韭圈儿
2009-02-03,FCHI,法国CAC40,12.45,韭圈儿
2009-02-04,FCHI,法国CAC40,12.81,韭圈儿
2009-02-05,FCHI,法国CAC40,12.8,韭圈儿
2009-02-06,FCHI,法国CAC40,13.03,韭圈儿
2009-02-09,FCHI,法国CAC40,13.08,韭圈儿
2009-02-10,FCHI,法国CAC40,12.61,韭圈儿
2009-02-11,FCHI,法国CAC40,12.64,韭圈儿
2009-02-12,FCHI,法国CAC40,12.37,韭圈儿
2009-02-13,FCHI,法国CAC40,12.51,韭圈儿
2009-02-16,FCHI,法国CAC40,12.36,韭圈儿
2009-02-17,FCHI,法国CAC40,12.0,韭圈儿
2009-02-18,FCHI,法国CAC40,12.0,韭圈儿
2009-02-19,FCHI,法国CAC40,11.99,韭圈儿
2009-02-20,FCHI,法国CAC40,11.48,韭圈儿
2009-02-23,FCHI,法国CAC40,11.4,韭圈儿
2009-02-24,FCHI,法国CAC40,11.31,韭圈儿
2009-02-25,FCHI,法国CAC40,11.27,韭圈儿
