日期,指数代码,指数名称,标签,市盈率,数据源
2007-12-14,GDAXI,德国DAX,跨境，德国,13.52,韭圈儿
2007-12-17,GDAXI,德国DAX,跨境，德国,13.31,韭圈儿
2007-12-18,GDAXI,德国DAX,跨境，德国,13.35,韭圈儿
2007-12-19,GDAXI,德国DAX,跨境，德国,13.33,韭圈儿
2007-12-20,GDAXI,德国DAX,跨境，德国,13.38,韭圈儿
2007-12-21,GDAXI,德国DAX,跨境，德国,13.61,韭圈儿
2007-12-27,GDAXI,德国DAX,跨境，德国,13.56,韭圈儿
2007-12-28,GDAXI,德国DAX,跨境，德国,13.61,韭圈儿
2008-01-02,GDAXI,德国DAX,跨境，德国,13.47,韭圈儿
2008-01-03,GDAXI,德国DAX,跨境，德国,13.4,韭圈儿
2008-01-04,GDAXI,德国DAX,跨境，德国,13.23,韭圈儿
2008-01-07,GDAXI,德国DAX,跨境，德国,13.25,韭圈儿
2008-01-08,GDAXI,德国DAX,跨境，德国,13.3,韭圈儿
2008-01-09,GDAXI,德国DAX,跨境，德国,13.19,韭圈儿
2008-01-10,GDAXI,德国DAX,跨境，德国,13.07,韭圈儿
2008-01-11,GDAXI,德国DAX,跨境，德国,13.08,韭圈儿
2008-01-14,GDAXI,德国DAX,跨境，德国,13.1,韭圈儿
2008-01-15,GDAXI,德国DAX,跨境，德国,12.82,韭圈儿
2008-01-16,GDAXI,德国DAX,跨境，德国,12.66,韭圈儿
2008-01-17,GDAXI,德国DAX,跨境，德国,12.56,韭圈儿
2008-01-18,GDAXI,德国DAX,跨境，德国,12.39,韭圈儿
2008-01-21,GDAXI,德国DAX,跨境，德国,11.49,韭圈儿
2008-01-22,GDAXI,德国DAX,跨境，德国,11.46,韭圈儿
2008-01-23,GDAXI,德国DAX,跨境，德国,10.9,韭圈儿
2008-01-24,GDAXI,德国DAX,跨境，德国,11.55,韭圈儿
2008-01-25,GDAXI,德国DAX,跨境，德国,11.53,韭圈儿
2008-01-28,GDAXI,德国DAX,跨境，德国,11.53,韭圈儿
2008-01-29,GDAXI,德国DAX,跨境，德国,11.66,韭圈儿
2008-01-30,GDAXI,德国DAX,跨境，德国,11.63,韭圈儿
2008-01-31,GDAXI,德国DAX,跨境，德国,11.59,韭圈儿
2008-02-01,GDAXI,德国DAX,跨境，德国,11.78,韭圈儿
2008-02-04,GDAXI,德国DAX,跨境，德国,11.84,韭圈儿
2008-02-05,GDAXI,德国DAX,跨境，德国,11.44,韭圈儿
2008-02-06,GDAXI,德国DAX,跨境，德国,11.58,韭圈儿
2008-02-07,GDAXI,德国DAX,跨境，德国,11.39,韭圈儿
2008-02-08,GDAXI,德国DAX,跨境，德国,11.44,韭圈儿
2008-02-11,GDAXI,德国DAX,跨境，德国,11.4,韭圈儿
2008-02-12,GDAXI,德国DAX,跨境，德国,11.78,韭圈儿
2008-02-13,GDAXI,德国DAX,跨境，德国,11.79,韭圈儿
2008-02-14,GDAXI,德国DAX,跨境，德国,11.77,韭圈儿
2008-02-15,GDAXI,德国DAX,跨境，德国,11.55,韭圈儿
2008-02-18,GDAXI,德国DAX,跨境，德国,11.78,韭圈儿
2008-02-19,GDAXI,德国DAX,跨境，德国,11.84,韭圈儿
2008-02-20,GDAXI,德国DAX,跨境，德国,11.67,韭圈儿
2008-02-21,GDAXI,德国DAX,跨境，德国,11.68,韭圈儿
2008-02-22,GDAXI,德国DAX,跨境，德国,11.51,韭圈儿
2008-02-25,GDAXI,德国DAX,跨境，德国,11.64,韭圈儿
2008-02-26,GDAXI,德国DAX,跨境，德国,11.81,韭圈儿
2008-02-27,GDAXI,德国DAX,跨境，德国,11.83,韭圈儿
2008-02-28,GDAXI,德国DAX,跨境，德国,11.6,韭圈儿
2008-02-29,GDAXI,德国DAX,跨境，德国,11.41,韭圈儿
