日期,指数代码,指数名称,市盈率,数据源
2013-07-15,H30202,软件指数,52.62,韭圈儿
2013-07-16,H30202,软件指数,52.61,韭圈儿
2013-07-17,H30202,软件指数,52.18,韭圈儿
2013-07-18,H30202,软件指数,53.59,韭圈儿
2013-07-19,H30202,软件指数,53.85,韭圈儿
2013-07-22,H30202,软件指数,55.81,韭圈儿
2013-07-23,H30202,软件指数,56.0,韭圈儿
2013-07-24,H30202,软件指数,57.46,韭圈儿
2013-07-25,H30202,软件指数,55.1,韭圈儿
2013-07-26,H30202,软件指数,56.09,韭圈儿
2013-07-29,H30202,软件指数,54.36,韭圈儿
2013-07-30,H30202,软件指数,53.34,韭圈儿
2013-07-31,H30202,软件指数,53.09,韭圈儿
2013-08-01,H30202,软件指数,56.26,韭圈儿
2013-08-02,H30202,软件指数,56.78,韭圈儿
2013-08-05,H30202,软件指数,57.45,韭圈儿
2013-08-06,H30202,软件指数,58.03,韭圈儿
2013-08-07,H30202,软件指数,56.11,韭圈儿
2013-08-08,H30202,软件指数,56.08,韭圈儿
2013-08-09,H30202,软件指数,54.91,韭圈儿
2013-08-12,H30202,软件指数,55.0,韭圈儿
2013-08-13,H30202,软件指数,55.65,韭圈儿
2013-08-14,H30202,软件指数,57.26,韭圈儿
2013-08-15,H30202,软件指数,57.34,韭圈儿
2013-08-16,H30202,软件指数,55.9,韭圈儿
2013-08-19,H30202,软件指数,59.2,韭圈儿
2013-08-20,H30202,软件指数,59.41,韭圈儿
2013-08-21,H30202,软件指数,59.68,韭圈儿
2013-08-22,H30202,软件指数,60.5,韭圈儿
2013-08-23,H30202,软件指数,60.5,韭圈儿
2013-08-26,H30202,软件指数,62.0,韭圈儿
2013-08-27,H30202,软件指数,63.04,韭圈儿
2013-08-28,H30202,软件指数,62.54,韭圈儿
2013-08-29,H30202,软件指数,62.32,韭圈儿
2013-08-30,H30202,软件指数,59.1,韭圈儿
2013-09-02,H30202,软件指数,60.51,韭圈儿
2013-09-03,H30202,软件指数,62.15,韭圈儿
2013-09-04,H30202,软件指数,61.98,韭圈儿
2013-09-05,H30202,软件指数,63.4,韭圈儿
2013-09-06,H30202,软件指数,63.45,韭圈儿
2013-09-09,H30202,软件指数,63.36,韭圈儿
2013-09-10,H30202,软件指数,63.02,韭圈儿
2013-09-11,H30202,软件指数,60.37,韭圈儿
2013-09-12,H30202,软件指数,60.46,韭圈儿
2013-09-13,H30202,软件指数,61.79,韭圈儿
2013-09-16,H30202,软件指数,62.68,韭圈儿
2013-09-17,H30202,软件指数,62.1,韭圈儿
2013-09-18,H30202,软件指数,62.26,韭圈儿
2013-09-23,H30202,软件指数,64.61,韭圈儿
2013-09-24,H30202,软件指数,65.58,韭圈儿
2013-09-25,H30202,软件指数,65.42,韭圈儿
2013-09-26,H30202,软件指数,64.5,韭圈儿
2013-09-27,H30202,软件指数,64.48,韭圈儿
2013-09-30,H30202,软件指数,66.55,韭圈儿
2013-10-08,H30202,软件指数,68.76,韭圈儿
2013-10-09,H30202,软件指数,70.41,韭圈儿
2013-10-10,H30202,软件指数,69.77,韭圈儿
2013-10-11,H30202,软件指数,70.29,韭圈儿
2013-10-14,H30202,软件指数,71.34,韭圈儿
2013-10-15,H30202,软件指数,70.87,韭圈儿
2013-10-16,H30202,软件指数,68.88,韭圈儿
2013-10-17,H30202,软件指数,68.07,韭圈儿
2013-10-18,H30202,软件指数,70.49,韭圈儿
2013-10-21,H30202,软件指数,73.65,韭圈儿
2013-10-22,H30202,软件指数,70.02,韭圈儿
2013-10-23,H30202,软件指数,66.59,韭圈儿
2013-10-24,H30202,软件指数,66.16,韭圈儿
2013-10-25,H30202,软件指数,62.17,韭圈儿
2013-10-28,H30202,软件指数,63.03,韭圈儿
2013-10-29,H30202,软件指数,61.57,韭圈儿
2013-10-30,H30202,软件指数,62.28,韭圈儿
2013-10-31,H30202,软件指数,61.27,韭圈儿
2013-11-01,H30202,软件指数,59.59,韭圈儿
2013-11-04,H30202,软件指数,59.46,韭圈儿
2013-11-05,H30202,软件指数,61.56,韭圈儿
2013-11-06,H30202,软件指数,60.71,韭圈儿
2013-11-07,H30202,软件指数,59.5,韭圈儿
2013-11-08,H30202,软件指数,58.99,韭圈儿
2013-11-11,H30202,软件指数,59.01,韭圈儿
2013-11-12,H30202,软件指数,58.95,韭圈儿
2013-11-13,H30202,软件指数,58.71,韭圈儿
2013-11-14,H30202,软件指数,60.04,韭圈儿
2013-11-15,H30202,软件指数,61.52,韭圈儿
2013-11-18,H30202,软件指数,62.78,韭圈儿
2013-11-19,H30202,软件指数,63.36,韭圈儿
2013-11-20,H30202,软件指数,63.84,韭圈儿
2013-11-21,H30202,软件指数,64.26,韭圈儿
2013-11-22,H30202,软件指数,64.69,韭圈儿
2013-11-25,H30202,软件指数,64.41,韭圈儿
2013-11-26,H30202,软件指数,64.17,韭圈儿
2013-11-27,H30202,软件指数,65.5,韭圈儿
2013-11-28,H30202,软件指数,65.47,韭圈儿
2013-11-29,H30202,软件指数,66.77,韭圈儿
2013-12-02,H30202,软件指数,61.82,韭圈儿
2013-12-03,H30202,软件指数,62.19,韭圈儿
2013-12-04,H30202,软件指数,62.46,韭圈儿
2013-12-05,H30202,软件指数,60.61,韭圈儿
2013-12-06,H30202,软件指数,60.22,韭圈儿
2013-12-09,H30202,软件指数,61.24,韭圈儿
2013-12-10,H30202,软件指数,61.24,韭圈儿
2013-12-11,H30202,软件指数,61.24,韭圈儿
2013-12-12,H30202,软件指数,62.97,韭圈儿
2013-12-13,H30202,软件指数,62.84,韭圈儿
2013-12-16,H30202,软件指数,62.21,韭圈儿
2013-12-17,H30202,软件指数,61.56,韭圈儿
2013-12-18,H30202,软件指数,61.65,韭圈儿
2013-12-19,H30202,软件指数,61.12,韭圈儿
2013-12-20,H30202,软件指数,59.96,韭圈儿
2013-12-23,H30202,软件指数,59.7,韭圈儿
2013-12-24,H30202,软件指数,60.72,韭圈儿
2013-12-25,H30202,软件指数,62.83,韭圈儿
2013-12-26,H30202,软件指数,61.9,韭圈儿
2013-12-27,H30202,软件指数,63.13,韭圈儿
2013-12-30,H30202,软件指数,63.87,韭圈儿
2013-12-31,H30202,软件指数,63.91,韭圈儿
2014-01-02,H30202,软件指数,64.73,韭圈儿
2014-01-03,H30202,软件指数,66.05,韭圈儿
2014-01-06,H30202,软件指数,64.3,韭圈儿
2014-01-07,H30202,软件指数,65.14,韭圈儿
2014-01-08,H30202,软件指数,66.99,韭圈儿
2014-01-09,H30202,软件指数,66.64,韭圈儿
2014-01-10,H30202,软件指数,65.41,韭圈儿
2014-01-13,H30202,软件指数,65.67,韭圈儿
2014-01-14,H30202,软件指数,67.46,韭圈儿
2014-01-15,H30202,软件指数,68.58,韭圈儿
2014-01-16,H30202,软件指数,67.44,韭圈儿
2014-01-17,H30202,软件指数,67.59,韭圈儿
2014-01-20,H30202,软件指数,67.43,韭圈儿
2014-01-21,H30202,软件指数,69.62,韭圈儿
2014-01-22,H30202,软件指数,70.57,韭圈儿
2014-01-23,H30202,软件指数,72.97,韭圈儿
2014-01-24,H30202,软件指数,74.75,韭圈儿
2014-01-27,H30202,软件指数,75.66,韭圈儿
2014-01-28,H30202,软件指数,74.94,韭圈儿
2014-01-29,H30202,软件指数,78.53,韭圈儿
2014-01-30,H30202,软件指数,79.25,韭圈儿
2014-02-07,H30202,软件指数,81.09,韭圈儿
2014-02-10,H30202,软件指数,81.35,韭圈儿
2014-02-11,H30202,软件指数,78.61,韭圈儿
2014-02-12,H30202,软件指数,79.56,韭圈儿
2014-02-13,H30202,软件指数,77.09,韭圈儿
2014-02-14,H30202,软件指数,78.56,韭圈儿
2014-02-17,H30202,软件指数,81.13,韭圈儿
2014-02-18,H30202,软件指数,80.99,韭圈儿
2014-02-19,H30202,软件指数,80.22,韭圈儿
2014-02-20,H30202,软件指数,79.64,韭圈儿
2014-02-21,H30202,软件指数,80.19,韭圈儿
2014-02-24,H30202,软件指数,81.56,韭圈儿
2014-02-25,H30202,软件指数,79.9,韭圈儿
2014-02-26,H30202,软件指数,79.07,韭圈儿
2014-02-27,H30202,软件指数,74.15,韭圈儿
2014-02-28,H30202,软件指数,67.14,韭圈儿
2014-03-03,H30202,软件指数,67.95,韭圈儿
2014-03-04,H30202,软件指数,67.14,韭圈儿
2014-03-05,H30202,软件指数,67.39,韭圈儿
2014-03-06,H30202,软件指数,66.9,韭圈儿
2014-03-07,H30202,软件指数,66.15,韭圈儿
2014-03-10,H30202,软件指数,63.25,韭圈儿
2014-03-11,H30202,软件指数,62.24,韭圈儿
2014-03-12,H30202,软件指数,61.67,韭圈儿
2014-03-13,H30202,软件指数,63.44,韭圈儿
2014-03-14,H30202,软件指数,63.0,韭圈儿
2014-03-17,H30202,软件指数,64.41,韭圈儿
2014-03-18,H30202,软件指数,63.49,韭圈儿
2014-03-19,H30202,软件指数,62.8,韭圈儿
2014-03-20,H30202,软件指数,60.26,韭圈儿
2014-03-21,H30202,软件指数,60.97,韭圈儿
2014-03-24,H30202,软件指数,60.14,韭圈儿
2014-03-25,H30202,软件指数,60.24,韭圈儿
2014-03-26,H30202,软件指数,61.16,韭圈儿
2014-03-27,H30202,软件指数,59.68,韭圈儿
2014-03-28,H30202,软件指数,57.63,韭圈儿
2014-03-31,H30202,软件指数,57.34,韭圈儿
2014-04-01,H30202,软件指数,57.89,韭圈儿
2014-04-02,H30202,软件指数,56.77,韭圈儿
2014-04-03,H30202,软件指数,56.78,韭圈儿
2014-04-04,H30202,软件指数,57.6,韭圈儿
