日期,指数代码,指数名称,标签,市盈率,数据源
2015-02-10,H30590,机器人,主题，新兴产业，机器人,43.44,韭圈儿
2015-02-11,H30590,机器人,主题，新兴产业，机器人,43.65,韭圈儿
2015-02-12,H30590,机器人,主题，新兴产业，机器人,43.92,韭圈儿
2015-02-13,H30590,机器人,主题，新兴产业，机器人,44.52,韭圈儿
2015-02-16,H30590,机器人,主题，新兴产业，机器人,45.61,韭圈儿
2015-02-17,H30590,机器人,主题，新兴产业，机器人,45.42,韭圈儿
2015-02-25,H30590,机器人,主题，新兴产业，机器人,45.8,韭圈儿
2015-02-26,H30590,机器人,主题，新兴产业，机器人,45.84,韭圈儿
2015-02-27,H30590,机器人,主题，新兴产业，机器人,46.62,韭圈儿
2015-03-02,H30590,机器人,主题，新兴产业，机器人,47.08,韭圈儿
2015-03-03,H30590,机器人,主题，新兴产业，机器人,46.29,韭圈儿
2015-03-04,H30590,机器人,主题，新兴产业，机器人,47.2,韭圈儿
2015-03-05,H30590,机器人,主题，新兴产业，机器人,47.68,韭圈儿
2015-03-06,H30590,机器人,主题，新兴产业，机器人,46.96,韭圈儿
2015-03-09,H30590,机器人,主题，新兴产业，机器人,48.92,韭圈儿
2015-03-10,H30590,机器人,主题，新兴产业，机器人,49.16,韭圈儿
2015-03-11,H30590,机器人,主题，新兴产业，机器人,48.67,韭圈儿
2015-03-12,H30590,机器人,主题，新兴产业，机器人,48.6,韭圈儿
2015-03-13,H30590,机器人,主题，新兴产业，机器人,49.05,韭圈儿
2015-03-16,H30590,机器人,主题，新兴产业，机器人,50.5,韭圈儿
2015-03-17,H30590,机器人,主题，新兴产业，机器人,52.14,韭圈儿
2015-03-18,H30590,机器人,主题，新兴产业，机器人,54.68,韭圈儿
2015-03-19,H30590,机器人,主题，新兴产业，机器人,55.26,韭圈儿
2015-03-20,H30590,机器人,主题，新兴产业，机器人,55.32,韭圈儿
2015-03-23,H30590,机器人,主题，新兴产业，机器人,56.73,韭圈儿
2015-03-24,H30590,机器人,主题，新兴产业，机器人,59.72,韭圈儿
2015-03-25,H30590,机器人,主题，新兴产业，机器人,61.15,韭圈儿
2015-03-26,H30590,机器人,主题，新兴产业，机器人,59.5,韭圈儿
2015-03-27,H30590,机器人,主题，新兴产业，机器人,61.89,韭圈儿
2015-03-30,H30590,机器人,主题，新兴产业，机器人,64.7,韭圈儿
2015-03-31,H30590,机器人,主题，新兴产业，机器人,64.47,韭圈儿
2015-04-01,H30590,机器人,主题，新兴产业，机器人,66.11,韭圈儿
2015-04-02,H30590,机器人,主题，新兴产业，机器人,67.51,韭圈儿
2015-04-03,H30590,机器人,主题，新兴产业，机器人,68.21,韭圈儿
2015-04-07,H30590,机器人,主题，新兴产业，机器人,69.3,韭圈儿
2015-04-08,H30590,机器人,主题，新兴产业，机器人,68.09,韭圈儿
2015-04-09,H30590,机器人,主题，新兴产业，机器人,66.82,韭圈儿
2015-04-10,H30590,机器人,主题，新兴产业，机器人,68.49,韭圈儿
2015-04-13,H30590,机器人,主题，新兴产业，机器人,69.83,韭圈儿
2015-04-14,H30590,机器人,主题，新兴产业，机器人,69.83,韭圈儿
2015-04-15,H30590,机器人,主题，新兴产业，机器人,68.13,韭圈儿
2015-04-16,H30590,机器人,主题，新兴产业，机器人,68.6,韭圈儿
2015-04-17,H30590,机器人,主题，新兴产业，机器人,68.71,韭圈儿
2015-04-20,H30590,机器人,主题，新兴产业，机器人,67.17,韭圈儿
2015-04-21,H30590,机器人,主题，新兴产业，机器人,68.9,韭圈儿
2015-04-22,H30590,机器人,主题，新兴产业，机器人,70.68,韭圈儿
2015-04-23,H30590,机器人,主题，新兴产业，机器人,71.81,韭圈儿
2015-04-24,H30590,机器人,主题，新兴产业，机器人,72.25,韭圈儿
2015-04-27,H30590,机器人,主题，新兴产业，机器人,73.47,韭圈儿
2015-04-28,H30590,机器人,主题，新兴产业，机器人,72.54,韭圈儿
2015-04-29,H30590,机器人,主题，新兴产业，机器人,76.45,韭圈儿
2015-04-30,H30590,机器人,主题，新兴产业，机器人,75.97,韭圈儿
2015-05-04,H30590,机器人,主题，新兴产业，机器人,77.69,韭圈儿
2015-05-05,H30590,机器人,主题，新兴产业，机器人,77.84,韭圈儿
2015-05-06,H30590,机器人,主题，新兴产业，机器人,78.89,韭圈儿
2015-05-07,H30590,机器人,主题，新兴产业，机器人,74.66,韭圈儿
2015-05-08,H30590,机器人,主题，新兴产业，机器人,78.39,韭圈儿
2015-05-11,H30590,机器人,主题，新兴产业，机器人,82.77,韭圈儿
2015-05-12,H30590,机器人,主题，新兴产业，机器人,84.1,韭圈儿
2015-05-13,H30590,机器人,主题，新兴产业，机器人,83.93,韭圈儿
2015-05-14,H30590,机器人,主题，新兴产业，机器人,86.16,韭圈儿
2015-05-15,H30590,机器人,主题，新兴产业，机器人,84.71,韭圈儿
2015-05-18,H30590,机器人,主题，新兴产业，机器人,86.46,韭圈儿
2015-05-19,H30590,机器人,主题，新兴产业，机器人,90.98,韭圈儿
2015-05-20,H30590,机器人,主题，新兴产业，机器人,94.48,韭圈儿
2015-05-21,H30590,机器人,主题，新兴产业，机器人,98.94,韭圈儿
2015-05-22,H30590,机器人,主题，新兴产业，机器人,98.93,韭圈儿
2015-05-25,H30590,机器人,主题，新兴产业，机器人,100.27,韭圈儿
2015-05-26,H30590,机器人,主题，新兴产业，机器人,104.4,韭圈儿
2015-05-27,H30590,机器人,主题，新兴产业，机器人,107.16,韭圈儿
2015-05-28,H30590,机器人,主题，新兴产业，机器人,101.2,韭圈儿
2015-05-29,H30590,机器人,主题，新兴产业，机器人,104.2,韭圈儿
2015-06-01,H30590,机器人,主题，新兴产业，机器人,111.25,韭圈儿
2015-06-02,H30590,机器人,主题，新兴产业，机器人,118.53,韭圈儿
2015-06-03,H30590,机器人,主题，新兴产业，机器人,119.74,韭圈儿
2015-06-04,H30590,机器人,主题，新兴产业，机器人,117.7,韭圈儿
2015-06-05,H30590,机器人,主题，新兴产业，机器人,116.79,韭圈儿
2015-06-08,H30590,机器人,主题，新兴产业，机器人,111.2,韭圈儿
2015-06-09,H30590,机器人,主题，新兴产业，机器人,112.88,韭圈儿
2015-06-10,H30590,机器人,主题，新兴产业，机器人,116.43,韭圈儿
2015-06-11,H30590,机器人,主题，新兴产业，机器人,116.76,韭圈儿
2015-06-12,H30590,机器人,主题，新兴产业，机器人,117.71,韭圈儿
2015-06-15,H30590,机器人,主题，新兴产业，机器人,112.06,韭圈儿
2015-06-16,H30590,机器人,主题，新兴产业，机器人,107.13,韭圈儿
2015-06-17,H30590,机器人,主题，新兴产业，机器人,109.11,韭圈儿
2015-06-18,H30590,机器人,主题，新兴产业，机器人,105.06,韭圈儿
2015-06-19,H30590,机器人,主题，新兴产业，机器人,98.09,韭圈儿
2015-06-23,H30590,机器人,主题，新兴产业，机器人,99.15,韭圈儿
2015-06-24,H30590,机器人,主题，新兴产业，机器人,100.91,韭圈儿
2015-06-25,H30590,机器人,主题，新兴产业，机器人,97.73,韭圈儿
2015-06-26,H30590,机器人,主题，新兴产业，机器人,89.02,韭圈儿
2015-06-29,H30590,机器人,主题，新兴产业，机器人,82.07,韭圈儿
2015-06-30,H30590,机器人,主题，新兴产业，机器人,86.43,韭圈儿
2015-07-01,H30590,机器人,主题，新兴产业，机器人,81.66,韭圈儿
2015-07-02,H30590,机器人,主题，新兴产业，机器人,75.86,韭圈儿
2015-07-03,H30590,机器人,主题，新兴产业，机器人,72.31,韭圈儿
2015-07-06,H30590,机器人,主题，新兴产业，机器人,70.83,韭圈儿
2015-07-07,H30590,机器人,主题，新兴产业，机器人,66.17,韭圈儿
2015-07-08,H30590,机器人,主题，新兴产业，机器人,64.7,韭圈儿
2015-07-09,H30590,机器人,主题，新兴产业，机器人,68.02,韭圈儿
2015-07-10,H30590,机器人,主题，新兴产业，机器人,71.69,韭圈儿
2015-07-13,H30590,机器人,主题，新兴产业，机器人,76.42,韭圈儿
2015-07-14,H30590,机器人,主题，新兴产业，机器人,78.57,韭圈儿
2015-07-15,H30590,机器人,主题，新兴产业，机器人,73.81,韭圈儿
2015-07-16,H30590,机器人,主题，新兴产业，机器人,74.86,韭圈儿
2015-07-17,H30590,机器人,主题，新兴产业，机器人,79.86,韭圈儿
2015-07-20,H30590,机器人,主题，新兴产业，机器人,80.84,韭圈儿
2015-07-21,H30590,机器人,主题，新兴产业，机器人,82.76,韭圈儿
2015-07-22,H30590,机器人,主题，新兴产业，机器人,83.73,韭圈儿
2015-07-23,H30590,机器人,主题，新兴产业，机器人,85.66,韭圈儿
2015-07-24,H30590,机器人,主题，新兴产业，机器人,83.39,韭圈儿
2015-07-27,H30590,机器人,主题，新兴产业，机器人,76.83,韭圈儿
2015-07-28,H30590,机器人,主题，新兴产业，机器人,74.58,韭圈儿
2015-07-29,H30590,机器人,主题，新兴产业，机器人,78.88,韭圈儿
2015-07-30,H30590,机器人,主题，新兴产业，机器人,75.71,韭圈儿
2015-07-31,H30590,机器人,主题，新兴产业，机器人,75.81,韭圈儿
2015-08-03,H30590,机器人,主题，新兴产业，机器人,71.62,韭圈儿
2015-08-04,H30590,机器人,主题，新兴产业，机器人,76.87,韭圈儿
