日期,指数代码,指数名称,标签,市盈率,数据源
2007-12-14,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.31,韭圈儿
2007-12-17,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.5,韭圈儿
2007-12-18,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.53,韭圈儿
2007-12-19,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.82,韭圈儿
2007-12-20,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.93,韭圈儿
2007-12-21,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.29,韭圈儿
2007-12-24,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.87,韭圈儿
2007-12-27,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.74,韭圈儿
2007-12-28,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.2,韭圈儿
2007-12-31,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.4,韭圈儿
2008-01-02,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.19,韭圈儿
2008-01-03,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.37,韭圈儿
2008-01-04,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.04,韭圈儿
2008-01-07,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.58,韭圈儿
2008-01-08,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.71,韭圈儿
2008-01-09,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.42,韭圈儿
2008-01-10,HSCEI,恒生中国企业指数,跨境，香港，中概股,23.23,韭圈儿
2008-01-11,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.91,韭圈儿
2008-01-14,HSCEI,恒生中国企业指数,跨境，香港，中概股,22.41,韭圈儿
2008-01-15,HSCEI,恒生中国企业指数,跨境，香港，中概股,21.72,韭圈儿
2008-01-16,HSCEI,恒生中国企业指数,跨境，香港，中概股,20.38,韭圈儿
2008-01-17,HSCEI,恒生中国企业指数,跨境，香港，中概股,21.06,韭圈儿
2008-01-18,HSCEI,恒生中国企业指数,跨境，香港，中概股,21.26,韭圈儿
2008-01-21,HSCEI,恒生中国企业指数,跨境，香港，中概股,19.72,韭圈儿
2008-01-22,HSCEI,恒生中国企业指数,跨境，香港，中概股,17.4,韭圈儿
2008-01-23,HSCEI,恒生中国企业指数,跨境，香港，中概股,19.49,韭圈儿
2008-01-24,HSCEI,恒生中国企业指数,跨境，香港，中概股,18.99,韭圈儿
2008-01-25,HSCEI,恒生中国企业指数,跨境，香港，中概股,20.54,韭圈儿
