日期,指数代码,指数名称,标签,市盈率,数据源
2007-12-14,HSI,恒生指数,跨境，香港,20.06,韭圈儿
2007-12-17,HSI,恒生指数,跨境，香港,19.39,韭圈儿
2007-12-18,HSI,恒生指数,跨境，香港,19.43,韭圈儿
2007-12-19,HSI,恒生指数,跨境，香港,19.63,韭圈儿
2007-12-20,HSI,恒生指数,跨境，香港,19.65,韭圈儿
2007-12-21,HSI,恒生指数,跨境，香港,20.05,韭圈儿
2007-12-24,HSI,恒生指数,跨境，香港,20.46,韭圈儿
2007-12-27,HSI,恒生指数,跨境，香港,20.23,韭圈儿
2007-12-28,HSI,恒生指数,跨境，香港,19.8,韭圈儿
2007-12-31,HSI,恒生指数,跨境，香港,20.14,韭圈儿
2008-01-02,HSI,恒生指数,跨境，香港,19.92,韭圈儿
2008-01-03,HSI,恒生指数,跨境，香港,19.3,韭圈儿
2008-01-04,HSI,恒生指数,跨境，香港,19.81,韭圈儿
2008-01-07,HSI,恒生指数,跨境，香港,19.5,韭圈儿
2008-01-08,HSI,恒生指数,跨境，香港,19.52,韭圈儿
2008-01-09,HSI,恒生指数,跨境，香港,19.98,韭圈儿
2008-01-10,HSI,恒生指数,跨境，香港,19.69,韭圈儿
2008-01-11,HSI,恒生指数,跨境，香港,19.43,韭圈儿
2008-01-14,HSI,恒生指数,跨境，香港,19.08,韭圈儿
2008-01-15,HSI,恒生指数,跨境，香港,18.55,韭圈儿
2008-01-16,HSI,恒生指数,跨境，香港,17.55,韭圈儿
2008-01-17,HSI,恒生指数,跨境，香港,18.1,韭圈儿
2008-01-18,HSI,恒生指数,跨境，香港,18.25,韭圈儿
2008-01-21,HSI,恒生指数,跨境，香港,17.12,韭圈儿
2008-01-22,HSI,恒生指数,跨境，香港,15.47,韭圈儿
2008-01-23,HSI,恒生指数,跨境，香港,17.26,韭圈儿
2008-01-24,HSI,恒生指数,跨境，香港,16.82,韭圈儿
2008-01-25,HSI,恒生指数,跨境，香港,18.04,韭圈儿
2008-01-28,HSI,恒生指数,跨境，香港,17.21,韭圈儿
2008-01-29,HSI,恒生指数,跨境，香港,17.33,韭圈儿
2008-01-30,HSI,恒生指数,跨境，香港,16.73,韭圈儿
2008-01-31,HSI,恒生指数,跨境，香港,16.5,韭圈儿
2008-02-01,HSI,恒生指数,跨境，香港,17.2,韭圈儿
2008-02-04,HSI,恒生指数,跨境，香港,17.99,韭圈儿
2008-02-05,HSI,恒生指数,跨境，香港,17.86,韭圈儿
2008-02-06,HSI,恒生指数,跨境，香港,16.78,韭圈儿
2008-02-11,HSI,恒生指数,跨境，香港,16.14,韭圈儿
2008-02-12,HSI,恒生指数,跨境，香港,16.37,韭圈儿
