日期,指数代码,指数名称,市盈率,数据源
2015-08-17,HSIII,恒生互联网科技业,29.17,韭圈儿
2015-08-18,HSIII,恒生互联网科技业,28.41,韭圈儿
2015-08-19,HSIII,恒生互联网科技业,28.37,韭圈儿
2015-08-20,HSIII,恒生互联网科技业,27.48,韭圈儿
2015-08-21,HSIII,恒生互联网科技业,25.62,韭圈儿
2015-08-24,HSIII,恒生互联网科技业,24.04,韭圈儿
2015-08-25,HSIII,恒生互联网科技业,24.92,韭圈儿
2015-08-26,HSIII,恒生互联网科技业,24.57,韭圈儿
2015-08-27,HSIII,恒生互联网科技业,25.62,韭圈儿
2015-08-28,HSIII,恒生互联网科技业,25.52,韭圈儿
2015-08-31,HSIII,恒生互联网科技业,25.49,韭圈儿
2015-09-01,HSIII,恒生互联网科技业,24.7,韭圈儿
2015-09-02,HSIII,恒生互联网科技业,24.65,韭圈儿
2015-09-04,HSIII,恒生互联网科技业,24.75,韭圈儿
2015-09-07,HSIII,恒生互联网科技业,24.6,韭圈儿
2015-09-08,HSIII,恒生互联网科技业,25.34,韭圈儿
2015-09-09,HSIII,恒生互联网科技业,26.1,韭圈儿
2015-09-10,HSIII,恒生互联网科技业,25.33,韭圈儿
2015-09-11,HSIII,恒生互联网科技业,25.17,韭圈儿
2015-09-14,HSIII,恒生互联网科技业,25.47,韭圈儿
2015-09-15,HSIII,恒生互联网科技业,25.85,韭圈儿
2015-09-16,HSIII,恒生互联网科技业,26.67,韭圈儿
2015-09-17,HSIII,恒生互联网科技业,26.66,韭圈儿
2015-09-18,HSIII,恒生互联网科技业,26.94,韭圈儿
2015-09-21,HSIII,恒生互联网科技业,26.77,韭圈儿
2015-09-22,HSIII,恒生互联网科技业,26.53,韭圈儿
2015-09-23,HSIII,恒生互联网科技业,26.1,韭圈儿
2015-09-24,HSIII,恒生互联网科技业,26.04,韭圈儿
2015-09-25,HSIII,恒生互联网科技业,26.02,韭圈儿
2015-09-28,HSIII,恒生互联网科技业,26.02,韭圈儿
2015-09-29,HSIII,恒生互联网科技业,25.27,韭圈儿
2015-09-30,HSIII,恒生互联网科技业,25.7,韭圈儿
2015-10-02,HSIII,恒生互联网科技业,26.74,韭圈儿
2015-10-05,HSIII,恒生互联网科技业,27.37,韭圈儿
2015-10-06,HSIII,恒生互联网科技业,27.31,韭圈儿
2015-10-07,HSIII,恒生互联网科技业,27.86,韭圈儿
2015-10-08,HSIII,恒生互联网科技业,27.76,韭圈儿
2015-10-09,HSIII,恒生互联网科技业,27.78,韭圈儿
2015-10-12,HSIII,恒生互联网科技业,28.34,韭圈儿
2015-10-13,HSIII,恒生互联网科技业,28.21,韭圈儿
2015-10-14,HSIII,恒生互联网科技业,28.04,韭圈儿
2015-10-15,HSIII,恒生互联网科技业,28.55,韭圈儿
2015-10-16,HSIII,恒生互联网科技业,28.86,韭圈儿
2015-10-19,HSIII,恒生互联网科技业,28.87,韭圈儿
2015-10-20,HSIII,恒生互联网科技业,28.83,韭圈儿
2015-10-21,HSIII,恒生互联网科技业,28.83,韭圈儿
2015-10-22,HSIII,恒生互联网科技业,28.75,韭圈儿
2015-10-23,HSIII,恒生互联网科技业,29.22,韭圈儿
2015-10-26,HSIII,恒生互联网科技业,29.21,韭圈儿
2015-10-27,HSIII,恒生互联网科技业,29.1,韭圈儿
2015-10-28,HSIII,恒生互联网科技业,29.12,韭圈儿
2015-10-29,HSIII,恒生互联网科技业,29.11,韭圈儿
2015-10-30,HSIII,恒生互联网科技业,28.95,韭圈儿
2015-11-02,HSIII,恒生互联网科技业,28.99,韭圈儿
2015-11-03,HSIII,恒生互联网科技业,29.54,韭圈儿
2015-11-04,HSIII,恒生互联网科技业,30.16,韭圈儿
2015-11-05,HSIII,恒生互联网科技业,30.04,韭圈儿
2015-11-06,HSIII,恒生互联网科技业,30.39,韭圈儿
2015-11-09,HSIII,恒生互联网科技业,30.03,韭圈儿
2015-11-10,HSIII,恒生互联网科技业,29.11,韭圈儿
2015-11-11,HSIII,恒生互联网科技业,29.18,韭圈儿
2015-11-12,HSIII,恒生互联网科技业,33.38,韭圈儿
2015-11-13,HSIII,恒生互联网科技业,33.05,韭圈儿
2015-11-16,HSIII,恒生互联网科技业,32.49,韭圈儿
2015-11-17,HSIII,恒生互联网科技业,33.03,韭圈儿
2015-11-18,HSIII,恒生互联网科技业,33.11,韭圈儿
2015-11-19,HSIII,恒生互联网科技业,33.65,韭圈儿
2015-11-20,HSIII,恒生互联网科技业,34.19,韭圈儿
2015-11-23,HSIII,恒生互联网科技业,34.33,韭圈儿
2015-11-24,HSIII,恒生互联网科技业,34.46,韭圈儿
2015-11-25,HSIII,恒生互联网科技业,34.48,韭圈儿
2015-11-26,HSIII,恒生互联网科技业,34.2,韭圈儿
2015-11-27,HSIII,恒生互联网科技业,33.58,韭圈儿
2015-11-30,HSIII,恒生互联网科技业,33.74,韭圈儿
2015-12-01,HSIII,恒生互联网科技业,33.91,韭圈儿
2015-12-02,HSIII,恒生互联网科技业,33.79,韭圈儿
2015-12-03,HSIII,恒生互联网科技业,33.81,韭圈儿
2015-12-04,HSIII,恒生互联网科技业,33.21,韭圈儿
2015-12-07,HSIII,恒生互联网科技业,32.47,韭圈儿
2015-12-08,HSIII,恒生互联网科技业,32.21,韭圈儿
2015-12-09,HSIII,恒生互联网科技业,32.23,韭圈儿
2015-12-10,HSIII,恒生互联网科技业,32.01,韭圈儿
2015-12-11,HSIII,恒生互联网科技业,31.44,韭圈儿
2015-12-14,HSIII,恒生互联网科技业,31.23,韭圈儿
2015-12-15,HSIII,恒生互联网科技业,31.41,韭圈儿
2015-12-16,HSIII,恒生互联网科技业,32.16,韭圈儿
2015-12-17,HSIII,恒生互联网科技业,32.22,韭圈儿
2015-12-18,HSIII,恒生互联网科技业,31.99,韭圈儿
2015-12-21,HSIII,恒生互联网科技业,31.88,韭圈儿
2015-12-22,HSIII,恒生互联网科技业,32.0,韭圈儿
2015-12-23,HSIII,恒生互联网科技业,32.24,韭圈儿
2015-12-24,HSIII,恒生互联网科技业,32.15,韭圈儿
2015-12-25,HSIII,恒生互联网科技业,32.15,韭圈儿
