日期,指数代码,指数名称,标签,市盈率,数据源
2011-04-01,NDX,纳斯达克100,跨境，美国,18.16,韭圈儿
2011-04-04,NDX,纳斯达克100,跨境，美国,18.1,韭圈儿
2011-04-05,NDX,纳斯达克100,跨境，美国,18.06,韭圈儿
2011-04-06,NDX,纳斯达克100,跨境，美国,18.12,韭圈儿
2011-04-07,NDX,纳斯达克100,跨境，美国,18.14,韭圈儿
2011-04-08,NDX,纳斯达克100,跨境，美国,18.04,韭圈儿
2011-04-11,NDX,纳斯达克100,跨境，美国,18.01,韭圈儿
2011-04-12,NDX,纳斯达克100,跨境，美国,17.9,韭圈儿
2011-04-13,NDX,纳斯达克100,跨境，美国,18.02,韭圈儿
2011-04-14,NDX,纳斯达克100,跨境，美国,18.01,韭圈儿
2011-04-15,NDX,纳斯达克100,跨境，美国,17.94,韭圈儿
2011-04-18,NDX,纳斯达克100,跨境，美国,17.79,韭圈儿
2011-04-19,NDX,纳斯达克100,跨境，美国,17.8,韭圈儿
2011-04-20,NDX,纳斯达克100,跨境，美国,18.18,韭圈儿
2011-04-21,NDX,纳斯达克100,跨境，美国,17.93,韭圈儿
2011-04-22,NDX,纳斯达克100,跨境，美国,17.92,韭圈儿
2011-04-25,NDX,纳斯达克100,跨境，美国,17.98,韭圈儿
2011-04-26,NDX,纳斯达克100,跨境，美国,18.11,韭圈儿
2011-04-27,NDX,纳斯达克100,跨境，美国,18.24,韭圈儿
2011-04-28,NDX,纳斯达克100,跨境，美国,18.06,韭圈儿
2011-04-29,NDX,纳斯达克100,跨境，美国,18.04,韭圈儿
2011-05-02,NDX,纳斯达克100,跨境，美国,18.02,韭圈儿
2011-05-03,NDX,纳斯达克100,跨境，美国,17.98,韭圈儿
2011-05-04,NDX,纳斯达克100,跨境，美国,17.94,韭圈儿
2011-05-05,NDX,纳斯达克100,跨境，美国,17.83,韭圈儿
2011-05-06,NDX,纳斯达克100,跨境，美国,17.86,韭圈儿
2011-05-09,NDX,纳斯达克100,跨境，美国,17.92,韭圈儿
2011-05-10,NDX,纳斯达克100,跨境，美国,18.07,韭圈儿
2011-05-11,NDX,纳斯达克100,跨境，美国,17.97,韭圈儿
2011-05-12,NDX,纳斯达克100,跨境，美国,18.07,韭圈儿
2011-05-13,NDX,纳斯达克100,跨境，美国,17.83,韭圈儿
2011-05-16,NDX,纳斯达克100,跨境，美国,17.51,韭圈儿
2011-05-17,NDX,纳斯达克100,跨境，美国,17.48,韭圈儿
2011-05-18,NDX,纳斯达克100,跨境，美国,17.62,韭圈儿
2011-05-19,NDX,纳斯达克100,跨境，美国,17.67,韭圈儿
2011-05-20,NDX,纳斯达克100,跨境，美国,17.53,韭圈儿
2011-05-23,NDX,纳斯达克100,跨境，美国,17.24,韭圈儿
2011-05-24,NDX,纳斯达克100,跨境，美国,17.1,韭圈儿
2011-05-25,NDX,纳斯达克100,跨境，美国,17.15,韭圈儿
2011-05-26,NDX,纳斯达克100,跨境，美国,17.26,韭圈儿
2011-05-27,NDX,纳斯达克100,跨境，美国,17.4,韭圈儿
2011-05-30,NDX,纳斯达克100,跨境，美国,17.4,韭圈儿
2011-05-31,NDX,纳斯达克100,跨境，美国,17.68,韭圈儿
2011-06-01,NDX,纳斯达克100,跨境，美国,17.32,韭圈儿
2011-06-02,NDX,纳斯达克100,跨境，美国,17.35,韭圈儿
2011-06-03,NDX,纳斯达克100,跨境，美国,17.08,韭圈儿
2011-06-06,NDX,纳斯达克100,跨境，美国,16.95,韭圈儿
2011-06-07,NDX,纳斯达克100,跨境，美国,16.9,韭圈儿
2011-06-08,NDX,纳斯达克100,跨境，美国,16.79,韭圈儿
2011-06-09,NDX,纳斯达克100,跨境，美国,16.82,韭圈儿
2011-06-10,NDX,纳斯达克100,跨境，美国,16.56,韭圈儿
2011-06-13,NDX,纳斯达克100,跨境，美国,16.55,韭圈儿
2011-06-14,NDX,纳斯达克100,跨境，美国,16.77,韭圈儿
2011-06-15,NDX,纳斯达克100,跨境，美国,16.46,韭圈儿
2011-06-16,NDX,纳斯达克100,跨境，美国,16.4,韭圈儿
2011-06-17,NDX,纳斯达克100,跨境，美国,16.37,韭圈儿
2011-06-20,NDX,纳斯达克100,跨境，美国,16.47,韭圈儿
2011-06-21,NDX,纳斯达克100,跨境，美国,16.81,韭圈儿
2011-06-22,NDX,纳斯达克100,跨境，美国,16.68,韭圈儿
2011-06-23,NDX,纳斯达克100,跨境，美国,16.82,韭圈儿
2011-06-24,NDX,纳斯达克100,跨境，美国,16.53,韭圈儿
2011-06-27,NDX,纳斯达克100,跨境，美国,16.77,韭圈儿
2011-06-28,NDX,纳斯达克100,跨境，美国,17.04,韭圈儿
2011-06-29,NDX,纳斯达克100,跨境，美国,17.1,韭圈儿
2011-06-30,NDX,纳斯达克100,跨境，美国,17.3,韭圈儿
2011-07-01,NDX,纳斯达克100,跨境，美国,17.57,韭圈儿
2011-07-04,NDX,纳斯达克100,跨境，美国,17.58,韭圈儿
2011-07-05,NDX,纳斯达克100,跨境，美国,17.66,韭圈儿
2011-07-06,NDX,纳斯达克100,跨境，美国,17.72,韭圈儿
2011-07-07,NDX,纳斯达克100,跨境，美国,17.97,韭圈儿
2011-07-08,NDX,纳斯达克100,跨境，美国,17.92,韭圈儿
2011-07-11,NDX,纳斯达克100,跨境，美国,17.6,韭圈儿
