,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
0,159502,标普生物科技ETF,0.931,0.9195,-1.25,0.034,3.79,1756891.0,162650855.3,0.916,0.931,0.914,0.897,1.9,17.87,3.51,32.58,983241.0,773650.0,7013570.0,4.31,-2237031.0,-1.38,9250601.0,5.69,-3414689.0,-2.1,-3598880.0,-2.21,13682.0,0.93,0.931,983323024.0,915473735,915473735,2024-04-30,2024-04-30 15:34:36+08:00
1,159730,龙头家电ETF,0.985,0.9844,-0.06,0.025,2.6,146722.0,14488772.084,0.96,0.997,0.958,0.96,4.06,37.08,1.72,-32.67,79909.0,66813.0,-1359219.0,-9.38,-1575937.0,-10.88,216718.0,1.5,841738.0,5.81,517481.0,3.57,-89.0,0.985,0.986,39571340.0,38977770,38977770,2024-04-30,2024-04-30 15:34:21+08:00
2,159518,标普油气ETF,1.098,1.0898,-0.75,0.024,2.23,742445.0,81289590.2,1.084,1.099,1.084,1.074,1.4,60.2,5.32,18.64,346685.0,395760.0,-5351826.0,-6.58,10686181.0,13.15,-16038007.0,-19.73,5915675.0,7.28,-563849.0,-0.69,1115.0,1.097,1.098,123325369.0,135411255,135411255,2024-04-30,2024-04-30 15:34:51+08:00
3,560880,家电ETF龙头,1.256,1.257,0.08,0.026,2.11,144721.0,18255615.0,1.23,1.272,1.23,1.23,3.41,2.8,1.03,57.1,63077.0,81644.0,266937.0,1.46,1905000.0,10.44,-1638063.0,-8.97,-280533.0,-1.54,13596.0,0.07,-162.0,1.246,1.257,516232000.0,648387392,648387392,2024-04-30,2024-04-30 15:59:58+08:00
4,159996,家电ETF,1.227,1.2244,-0.21,0.025,2.08,1633325.0,200404911.7,1.199,1.24,1.197,1.202,3.58,9.99,2.6,-20.67,646292.0,987033.0,6185364.0,3.09,71108305.0,35.48,-64922941.0,-32.4,-2502985.0,-1.25,-3682380.0,-1.84,4829.0,1.226,1.227,1634554848.0,2005598798,2005598798,2024-04-30,2024-04-30 15:34:48+08:00
5,159501,纳斯达克指数ETF,1.209,1.1913,-1.49,0.019,1.6,3424565.0,412321288.207,1.191,1.21,1.191,1.19,1.6,13.27,4.34,9.01,1559815.0,1864750.0,24847092.0,6.03,63647472.0,15.44,-38800380.0,-9.41,-20375601.0,-4.94,-4471497.0,-1.08,-2689.0,1.209,1.21,2579986576.0,3119203770,3119203770,2024-04-30,2024-04-30 15:34:42+08:00
6,513530,港股通红利ETF,1.239,1.2356,-0.28,0.019,1.56,639186.0,79403696.0,1.221,1.256,1.221,1.22,2.87,28.93,1.98,-22.82,342065.0,297121.0,-5678938.0,-7.15,-1106556.0,-1.39,-4572382.0,-5.76,5875542.0,7.4,-196603.0,-0.25,-26.0,1.238,1.239,220938700.0,273743049,273743049,2024-04-30,2024-04-30 16:00:00+08:00
7,561120,家电ETF,1.068,1.0759,0.73,0.016,1.52,157535.0,16938977.0,1.052,1.09,1.052,1.052,3.61,12.24,0.83,-98.46,70750.0,86785.0,126664.0,0.75,2669983.0,15.76,-2543319.0,-15.01,-184268.0,-1.09,57604.0,0.34,100.0,1.065,1.074,128659900.0,137408773,137408773,2024-04-30,2024-04-30 15:59:58+08:00
8,515550,国联中证500ETF,1.183,1.1796,-0.29,0.017,1.46,646.0,76178.0,1.166,1.187,1.166,1.166,1.8,0.22,0.6,48.48,464.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,15020.0,19.72,-15020.0,-19.72,-14.0,1.174,1.184,29345700.0,34715963,34715963,2024-04-30,2024-04-30 16:00:00+08:00
9,513290,纳指生物科技ETF,1.105,1.0897,-1.4,0.015,1.38,292525.0,32306050.0,1.104,1.106,1.103,1.09,0.28,2.69,0.67,-50.47,129845.0,162680.0,2588265.0,8.01,3859083.0,11.95,-1270818.0,-3.93,-556678.0,-1.72,-2031587.0,-6.29,-15.0,1.105,1.106,1088572096.0,1202872166,1202872166,2024-04-30,2024-04-30 16:00:00+08:00
