,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
0,399001,深证成指,500,9587.1245,-0.009,19.0429,181681.14304,2578.7084342458998,191649.0203326368,98553.23325393882
1,399002,深成指R,500,12386.1563,-0.0077,19.0429,181681.14304,2578.7084342458998,191649.0203326368,98553.23325393882
2,399003,成份Ｂ指,10,7502.4267,0.006,8.5795,398.47697,1.9481777434,365.9097849286,302.5551757466
3,399004,深证100R,100,5837.0461,-0.0082,17.4872,57934.69219,1057.7347105182,109750.59075754801,55714.9159474876
4,399005,中小100,100,5866.5381,-0.0091,17.4055,45741.21124,643.2584826829,54228.6421913029,27398.6748396046
5,399006,创业板指,100,1858.3934,-0.0155,26.1403,17248.27807,550.5440363390001,48350.2266676474,25919.0136269226
6,399007,深证300,300,4063.2851,-0.0092,18.4096,126502.26143,1970.6415838501,162700.17439275538,83358.7213240454
7,399008,中小300,300,1176.5752,-0.009,18.4767,102528.10505,1202.7019397997,79691.4201079079,40931.8313033752
8,399009,深证200,200,3536.4922,-0.0068,20.8467,68567.56924,912.9068733319,52949.583635207404,27643.805376557797
9,399010,深证700,700,6063.8068,-0.0089,23.7295,164464.79351,1657.7463055498001,68639.1677440964,36298.567223207596
10,399011,深证1000,1000,4619.9033,-0.0091,19.6134,290967.05494,3628.3878893999,231339.3421368518,119657.288547253
11,399012,创业300,300,2674.975,-0.0133,27.8295,56048.66227,1045.3785534896,68141.1958784962,36629.291392744104
12,399013,深市精选,0,4318.8496,-0.0062,17.2711,165263.21632,2231.7360709426002,144725.8095321385,72489.45036492009
13,399015,中小创新,500,2034.3326,-0.0097,23.4262,109285.9119,1049.679455154,39690.321804215,21104.0552933142
14,399016,深证创新,100,3593.9515,-0.009,23.2307,34500.51216,708.896684563,55977.1391109253,1375.5029740178
15,399017,SME创新,100,3163.7404,-0.0092,20.7749,30291.80415,533.7280642404,35059.2660143627,1426.3253624653
16,399018,创业创新,100,3654.7722,-0.0125,26.3803,14432.35001,432.92192523529997,35871.8939520052,796.3506202481
17,399019,创业200,200,2866.9946,-0.008,33.4203,39415.2416,489.2137313904,18393.6653019816,10272.1208758545
18,399020,创业小盘,300,1120.183,-0.0092,32.4709,37236.75829,397.2604280279,13573.4368912799,7135.282823766701
19,399030,碳科技30,30,2698.6702,-0.0234,19.7585,5613.45175,179.0315922134,18172.7828257696,6718.217409893001
20,399050,创新引擎,50,2234.8344,-0.0069,15.5338,25139.72571,333.6599133762,28881.04247554,13475.0702564552
21,399060,碳科技60,60,2384.763,-0.009,16.3504,22841.45225,539.0175869363,46233.969194678604,25109.4362522331
22,399088,深创100,100,3108.1087,-0.0096,18.1104,46556.88766,1013.0765518792,79196.3594190535,44276.2006764458
23,399100,新指数,0,8258.1487,-0.007,20.962,511298.66377,5527.6798524468995,294159.5984356491,248234.78317509821
24,399101,中小综指,0,10020.9059,-0.007,19.7196,209299.27008,1956.6750841941,107071.5910639921,95304.709859021
25,399102,创业板综,0,2349.6761,-0.0083,29.7034,162180.72129,2190.3900796776998,104312.43162880429,77788.1229248676
26,399103,乐富指数,0,6399.7492,-0.0062,,204776.97344,235.33775919,,
27,399106,深证综指,0,1756.0801,-0.007,20.9117,526973.89055,5568.460385114399,297333.5468351918,297333.5468351918
28,399107,深证Ａ指,0,1836.819,-0.007,20.9732,526413.6431,5566.108399671501,296844.4436423323,296844.4436423323
29,399108,深证Ｂ指,0,1107.6478,0.0005,8.2637,560.24745,2.3519854429,489.1031928595,489.1031928595
30,399231,农林指数,0,1247.7266,0.0004,29.7424,2601.22065,31.4587673566,5070.2814324132005,2778.1345126885
31,399232,采矿指数,0,2670.8808,-0.0093,13.0819,8677.79243,86.56005376350001,4382.977077829,2192.9127673039998
32,399233,制造指数,0,2270.553,-0.0062,22.2642,311888.94988,3803.6422942691997,210097.7394283186,108805.8400598632
33,399234,水电指数,0,845.6021,-0.0006,19.5167,12367.40574,81.6106175033,7906.761782615,2256.2379549448
34,399235,建筑指数,0,822.9592,-0.0188,15.7425,7477.59577,64.2594651247,2150.8501919471,981.8569736948
35,399236,批零指数,0,1105.7578,-0.0053,23.2953,13765.83514,104.8186109798,6105.261984905401,2807.9675587391
36,399237,运输指数,0,951.1909,-0.0076,18.2868,5897.88364,74.3441810036,5255.7881593037,1857.4619229772
