,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,估值,估值百分位,估值类型
0,上证50ETF华夏,510050,宽基，大盘股,170658.88,上证50,000016.SH,11.28,0.6398062527520916,PE
1,上证180ETF华安,510180,宽基，大盘股,5891.77,上证180,000010.SH,11.92,0.6253576931543033,PE
2,中国A50ETF汇添富,560050,宽基，大盘股,8410.83,MSCI中国A50互联互通,746059.MI,12.63,0.8739130434782608,PE
3,沪深300ETF华泰柏瑞,510300,宽基，大盘股,429110.53,沪深300,000300,14.05,0.6762891141472014,PE
4,中证800ETF汇添富,515800,宽基，综合,7783.48,中证800,000906.SH,16.1,0.7230904688531807,PE
5,A500ETF华泰柏瑞,563360,宽基，中小盘,441827.24,中证A500,000510,16.19,0.6890756302521008,PE
6,上证指数ETF富国,510210,宽基，综合,105886.14,上证指数,000001.SH,16.33,0.7457067371202114,PE
7,中证A50ETF大成,159595,宽基，大盘,8451.21,中证A50,930050.CSI,16.77,0.21222410865874364,PE
8,A100ETF易方达,159686,宽基，大盘股,1421.66,中证100,000903.SH,17.35,0.8745322474136034,PE
9,A股ETF华泰柏瑞,563330,宽基，综合,4478.78,中证A股,930903,18.24,,PE
10,深证100ETF易方达,159901,宽基，大盘股,39873.5,深证100,399330.SZ,27.2,0.7895200352267724,PE
11,深成ETF南方,159903,宽基，综合,8781.86,深证成指,399001.SZ,32.17,0.830654040960141,PE
12,创业板50ETF华安,159949,宽基，中小盘,178992.06,创业板50,399673.SZ,34.08,0.2412280701754386,PE
13,中证500ETF南方,510500,宽基，中小盘,271621.13,中证500,000905.SH,34.91,0.6857520369962563,PE
14,创业板成长ETF易方达,159597,宽基，中小盘,4118.0,创业成长,399667,36.3727,0.7913043478260869,PE
15,创业大盘ETF西部利得,159814,宽基，中小盘,4762.85,创业大盘,399293,36.8645,0.6147859922178989,PE
16,创业板ETF天弘,159977,宽基，中小盘,27607.35,创业板R,399606,38.6159,0.7198443579766537,PE
17,创业板ETF易方达,159915,宽基，中小盘,658915.66,创业板指,399006.SZ,39.52,0.3029687896472976,PE
18,中证1000ETF南方,512100,宽基，中小盘,376506.66,中证1000,000852.SH,43.36,0.5925797503467406,PE
19,创业板200ETF华夏,159573,宽基，中小盘,1784.15,创业200,399019,45.6682,0.45525291828793774,PE
20,国证2000ETF万家,159628,宽基，中小盘,11184.08,国证2000,399303.SZ,49.71,0.6051672739317655,PE
21,科创创业ETF,159781,宽基，中小盘,57767.57,科创创业50,931643.CSI,54.21,0.7023622047244095,PE
22,科创100ETF鹏华,588220,宽基，中小盘，科创板,96375.6,科创100,000698,63.99,0.6920473773265652,PE
23,科创200ETF华泰柏瑞,588230,宽基，中小盘，科创板,13525.12,科创200,000699,68.75,0.46568627450980393,PE
24,科创综指ETF富国,589600,宽基，中小盘，科创板,2106.43,科创价格,000681,75.23,0.7774294670846394,PE
25,中证2000ETF华泰柏瑞,563300,宽基，中小盘,72290.9,中证2000,932000.CSI,112.71,0.5803814713896458,PE
26,科创综指ETF鹏华,589680,宽基，中小盘，科创板,19779.37,科创综指,000680.SH,153.12,0.07512953367875648,PE
27,科创50ETF华夏,588000,宽基，中小盘，科创板,701614.77,科创50,000688.SH,160.71,0.8895781637717122,PE
