,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,估值,估值百分位,估值类型
0,港股通金融ETF华泰柏瑞,513140,跨境，香港,3443.35,300金融,000914,7.65,0.1908713692946058,PE
1,港股通央企红利ETF华夏,513910,跨境，香港，央企,10653.14,港股通央企红利,931233.CSI,8.14,0.9019607843137255,PE
2,港股央企红利ETF景顺,520990,跨境，香港，央企,10636.03,国新港股通央企红利,931722.CSI,10.02,0.85,PE
3,恒生中国企业ETF易方达,510900,跨境，香港，中概股,11850.25,恒生中国企业指数,HSCEI.HI,10.04,0.7016869528080291,PE
4,港股通ETF招商,513990,跨境，香港,1397.92,港股通50(HKD),930931.CSI,10.16,0.539264828738513,PE
5,港股通金融ETF华夏,513190,跨境，香港，金融,41645.29,中证香港银行投资指数,930792,11.21,0.9757575757575757,PE
6,香港证券ETF易方达,513090,跨境，香港,229820.4,中证香港证券投资指数,930793,11.21,0.9962511715089035,PE
7,港股通红利ETF华泰柏瑞,513530,跨境，香港，红利,27877.67,中证港股通高股息投资指数,930914,11.24,0.7,PE
8,恒生ETF华夏,159920,跨境，香港,23633.17,恒生指数,HSI.HI,11.68,0.6784112748238309,PE
9,港股通汽车ETF华夏,159323,跨境，香港，汽车,20784.08,港股通汽车,931239,13.31,0.5,PE
10,中概互联网ETF易方达,513050,跨境，中概股,220823.48,中国互联网50,H30533.CSI,17.17,0.06443661971830986,PE
11,法国ETF华安,513080,跨境，法国,4643.84,法国CAC40,FCHI.GI,17.4,0.44612476370510395,PE
12,德国ETF华安,513030,跨境，德国,29087.63,德国DAX,GDAXI.GI,17.68,0.5587102983638114,PE
13,港股通非银ETF广发,513750,跨境，香港，金融,71799.13,中证港股通非银行金融指数,931024,20.14,0.45,PE
14,港股通互联网ETF富国,159792,跨境，香港，互联网,183979.86,HKC互联网,931637.CSI,20.57,0.0896399706098457,PE
15,中概互联ETF广发,159605,跨境，中概股,20470.02,中国互联网30,930604,21.73,0.0,PE
16,云计算ETF华泰柏瑞,159738,跨境，香港，云计算,2945.4,SHS云计算,931470.CSI,22.72,0.20402858999350226,PE
17,恒生互联网ETF华夏,513330,跨境，香港，互联网,146825.09,恒生互联网科技业,HSIII.HI,22.82,0.2181884855152182,PE
18,日经ETF华夏,513520,跨境，日本,26349.35,日经225,N225.GI,23.25,0.8413991375179684,PE
19,中概互联ETF招商,513220,跨境，中概股,2797.36,全球中国互联网,930796,23.67,0.0,PE
20,恒生科技ETF华夏,513180,跨境，香港，科技,237276.4,恒生科技指数,HSTECH.HI,24.06,0.424,PE
21,道琼斯ETF鹏华,513400,跨境，美国,25862.16,道琼斯工业平均指数,DJI,25.01,0.7632900795311846,PE
22,港股通医疗ETF华夏,520510,跨境，香港，医疗,33819.29,中证港股通医药卫生综合指数,930965,26.05,0.55,PE
23,港股科技ETF景顺,513980,跨境，香港，科技,28202.87,HKC科技(CNY),931573,26.11,0.5768822905620361,PE
24,港股国企ETF华夏,513810,跨境，香港，国企,2172.88,中证内地国有主题指数,930997,28.27,0.15,PE
25,教育ETF博时,513360,跨境，教育,5004.68,中国教育,931456,28.99,0.12427559562137798,PE
26,纳指ETF广发,159941,跨境，美国,103193.71,纳斯达克100,NDX.GI,29.44,0.6305343511450382,PE
27,恒生医疗ETF博时,513060,跨境，香港，医药，医疗保健,67434.61,恒生医疗保健,HSHCI.HI,29.75,0.4917043740573152,PE
28,港股创新药ETF广发,513120,跨境，香港，医药,842426.5,港股创新药,931787,33.94,0.65,PE
29,港股通创新药医疗ETF富国,159506,跨境，香港，医疗,67635.11,医疗保健,h30178.CSI,40.32,0.31504702194357365,PE
30,港股通医药ETF易方达,513200,跨境，香港，医药,21942.39,HKC医药,931643,54.21,0.7023622047244095,PE
31,港股通消费ETF易方达,513070,跨境，香港，消费,10132.48,HKC消费,931582,61.29,0.05,PE
32,专精特新ETF富国,563210,跨境，香港，新兴产业,1835.56,专精特新,399267,79.3693,0.39090909090909093,PE
33,中韩半导体ETF华泰柏瑞,513310,跨境，韩国,907246.01,中韩半导体,931790.CSI,99.59,0.8522427440633246,PE
34,港股通信息技术ETF华宝,159131,跨境，香港，科技,142634.96,中证港股通信息指数,930909,211.98,0.7964728312678742,点位
35,港股通消费ETF汇添富,159268,跨境，香港，消费,2122.93,港股通消费,987024,825.0737,0.012345679012345678,点位
36,港股通50ETF华夏,159711,跨境，香港,6711.36,港股通50,987003,936.4596,0.012345679012345678,点位
37,港股红利低波ETF景顺,159569,跨境，香港，策略，红利,8712.89,港股通红利低波,987016,973.0637,0.3333333333333333,点位
38,港股通互联网ETF永赢,159170,跨境，香港,2344.56,港股通互联网,987022,1146.9904,0.012345679012345678,点位
39,港股通创新药ETF汇添富,159570,跨境，香港，医药,248625.04,港股通创新药,987018,1171.5142,0.09053497942386832,点位
40,港股科技50ETF招商,159750,跨境，香港，科技,4950.54,港股科技,987006,1379.0217,0.012345679012345678,点位
41,恒生创新药ETF华泰柏瑞,520500,跨境，香港，创新药,165614.25,创新药,980086,1397.1802,0.31746031746031744,点位
42,港股通科技ETF广发,159262,跨境，香港，科技,29905.2,港股通科技,987008,1611.8191,0.012345679012345678,点位
43,纳指生物科技ETF汇添富,513290,跨境，美国，生物科技,40192.72,纳斯达克生物科技指数,NBI,7248.103,0.9990530303030303,点位
44,标普500ETF南方,513650,跨境，美国,37733.01,标准普尔500指数,SP500,7652.8599,0.9975434286716968,点位
45,恒生医药ETF华夏,159892,跨境，香港，生物科技,88022.97,恒生生物科技指数,HSHKBIO.HI,15578.43,0.8636363636363636,点位
