,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,上证50ETF,510050,宽基，大盘股,199148.65,上证50,000016.SH,11.56,0.6866244916403073
1,上证180ETF,510180,宽基，大盘股,8651.54,上证180,000010.SH,12.21,0.6860176191551841
2,沪深300ETF,510300,宽基，大盘股,456874.63,沪深300,000300.SH,14.19,0.7219082070992539
3,800ETF,515800,宽基，综合,9795.31,中证800,000906.SH,16.48,0.7763722611249153
4,A股ETF,563330,宽基，综合,6358.32,A股指数,000002,16.87,
5,上证指数ETF,510210,宽基，综合,89307.08,上证指数,000001.SH,17.12,0.8472661545413466
6,中证A100ETF,512910,宽基，大盘股,1499.81,中证100,000903.SH,17.5,0.8983510277840524
7,A500ETF基金,512050,宽基，中小盘,555003.29,中证A50,930050.CSI,17.97,
8,深证100ETF,159901,宽基，大盘股,28882.12,深证100,399330.SZ,25.52,0.7697695436059647
9,深成ETF,159903,宽基，综合,3719.27,深证成指,399001.SZ,32.81,0.8646327683615819
10,创业大盘ETF,159814,宽基，中小盘,5158.32,创业大盘,399293,37.205,
11,中证500ETF,510500,宽基，中小盘,281467.31,中证500,000905.SH,37.54,0.7272932670582919
12,创业板ETF天弘,159977,宽基，中小盘,19486.1,创业板R,399606,38.234,
13,创业板50ETF,159949,宽基，中小盘,170478.47,创业板50,399673.SZ,40.87,0.36587078651685395
14,创业板ETF,159915,宽基，中小盘,470252.36,创业板指,399006.SZ,41.7,0.3740198640878202
15,中证1000ETF,512100,宽基，中小盘,165162.07,中证1000,000852.SH,49.97,0.7261560693641619
16,创业板200ETF易方达,159572,宽基，中小盘,1358.32,创业200,399019,53.3064,
17,科创创业ETF,159781,宽基，中小盘,30996.91,科创创业50,931643.CSI,54.41,0.7593073593073593
18,国证2000ETF,159628,宽基，中小盘,5876.47,国证2000,399303.SZ,62.37,0.7760936961763693
19,科创100ETF基金,588220,宽基，中小盘，科创板,26573.41,科创100,000698,70.88,
20,创业板综ETF银华,159288,宽基，中小盘,3295.82,创业板综,399102.SZ,71.23,0.6877984084880636
21,科创200ETF,588230,宽基，中小盘，科创板,5466.38,科创200,000699,83.84,
22,科创50ETF,588000,宽基，中小盘，科创板,377754.16,科创50,000688.SH,165.27,0.9505347593582888
23,中证2000ETF,563300,宽基，中小盘,39155.49,中证2000,932000.CSI,167.94,0.9790322580645161
