,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,银行ETF,512800,行业，金融，银行,124579.33,中证银行,399986.SZ,7.05,0.8539473684210527
1,金融ETF,510230,行业，金融,3981.17,180金融,000018.SH,7.81,0.5051217846574095
2,红利低波ETF,512890,策略，红利,87888.51,红利低波,h30269.CSI,8.29,0.7515337423312883
3,中证红利ETF,515080,策略，红利,29492.28,中证红利,000922.CSI,8.39,0.5404711919757406
4,红利ETF,510880,策略，红利,49941.39,红利指数,000015,8.44,
5,300红利低波ETF,515300,策略，红利，低波动,14782.96,300红利LV,930740.CSI,9.03,0.898491879350348
6,基建ETF,516950,主题，基建,2485.49,中证基建,930608.CSI,10.11,0.38185975609756095
7,证券保险ETF,512070,行业，金融,39760.22,300非银,h30035.CSI,10.86,0.015772870662460567
8,高股息ETF,563180,策略，红利,1291.63,高息策略,H30366.CSI,11.89,0.9828018631314941
9,能源ETF,159930,行业，资源，能源,8901.55,中证能源,000928,12.13,
10,MSCI中国A50ETF,560050,MSCI,8454.6,MSCI中国A50互联互通,746059.MI,12.56,0.8675373134328358
11,红利质量ETF,159758,策略，红利，价值,4001.86,红利质量,931468.CSI,13.65,0.0087527352297593
12,物流ETF,516910,行业，物流,1417.47,CS物流,930716.CSI,13.97,0.2701851122489169
13,油气ETF,159697,行业，石油，天然气,1259.17,国证油气,399439,13.9872,
14,央企创新驱动ETF,515900,主题，央企,1371.86,央企创新,000861.CSI,15.34,0.7972805933250927
15,深红利ETF,159905,策略，红利,5245.97,深证红利,399324.SZ,15.94,0.5133227055340469
16,资源ETF,510410,行业，资源,1654.61,上证资源,000068,16.57,
17,沪深300成长ETF,562310,策略，成长,1372.74,300成长,000918.CSI,16.71,0.6005951018539711
18,消费50ETF,515650,行业，消费,9106.48,CS消费50,931139.CSI,16.76,0.04471299093655589
19,家电ETF,159996,行业，家电,5886.76,家用电器,930697.CSI,16.88,0.4814235432147047
20,证券ETF龙头,159993,行业，金融，证券,11525.14,证券龙头,399437,16.9726,
21,煤炭ETF,515220,行业，煤炭，资源,74045.19,中证煤炭,399998.SZ,17.11,0.7634854771784232
22,公用事业ETF,159301,行业，公用事业,1382.58,全指公用,000995.CSI,17.3,0.3557582668187001
23,养殖ETF,159865,行业，畜牧养殖,18545.13,中证畜牧,930707.CSI,17.37,0.19714964370546317
24,证券ETF,512880,行业，金融，证券,293288.77,证券公司,399975.SZ,17.64,0.15493421052631579
25,酒ETF,512690,行业，食品饮料，酒,76273.28,中证酒指数,399987,18.01,
26,绿色电力ETF,561170,主题，新兴产业，新能源,2006.03,绿色电力,399438.SZ,18.55,0.46475195822454307
27,消费ETF,159928,行业，消费，必选消费,49268.69,中证消费,000932.SH,19.36,0.10756972111553785
28,房地产ETF,512200,行业，金融，房地产,43060.61,地产指数,399241,19.9244,
29,食品饮料ETF,515170,行业，食品饮料,15843.07,细分食品,000815.CSI,20.24,0.19108851674641147
30,食品饮料ETF,159843,行业，食品饮料,1681.73,国证食品,399396,20.3246,
31,农业ETF,159825,行业，农业,7651.83,中证农业,000949.CSI,20.76,0.0986060918946825
32,消费30ETF,510630,行业，消费，必选消费,1938.01,上证消费,000036,21.31,
33,深证50ETF富国,159350,策略，价值,3913.5,深证50,399850,23.9562,
34,消费ETF,510150,行业，消费,5313.79,消费80,000069,24.67,
35,中药ETF,560080,行业，医药,10260.28,中证中药,930641.CSI,24.68,0.19181783095329988
36,有色ETF基金,159880,行业，资源，有色金属,4051.76,国证有色,399395,25.8837,
37,碳中和ETF易方达,562990,主题，环保，新兴产业,1734.82,SEEE碳中和,931755.CSI,25.92,0.9172346640701071
38,医药龙头ETF,515950,行业，医药,1422.16,医药50,931140.CSI,26.95,0.32326283987915405
39,科技ETF,159807,主题，新兴产业，科技,4236.17,科技50,970080,27.0533,
40,生物医药ETF,159859,行业，医药，生物科技,10834.87,生物医药,399441,28.4273,
41,有色50ETF,159652,行业，资源，有色金属,16033.4,细分有色,000811.CSI,28.6,0.3594664931685101
42,医疗创新ETF,516820,行业，医药,4111.23,CS医药创新,931484.CSI,28.87,0.581041968162084
43,储能电池ETF,159566,主题，新兴产业，新能源,31572.33,新能源电池,980027,29.2833,
44,有色龙头ETF,159876,行业，资源，有色金属,5157.21,中证有色,930708.CSI,29.33,0.46748831279218017
45,化工ETF,159870,行业，化工,85200.71,细分化工,000813.CSI,29.52,0.7845552884615384
46,央企科创ETF,159335,主题，央企，科技,1398.38,新指数,399100,29.8369,
47,新能车ETF,515700,主题，新兴产业，新能源车,8923.06,新能源车,399417,30.4414,
48,医药ETF,512010,行业，医药,52222.38,300医药,000913.SH,31.49,0.5240154791714091
49,新能源50ETF,516270,主题，新兴产业，新能源,2515.58,新能源,000941,31.61,
50,电池ETF,159755,主题，新兴产业，新能源车，电池,116873.24,新能电池,980032.CNI,32.19,0.6788679245283019
