,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,港股金融ETF,513140,跨境，香港,2333.13,300金融,000914,9.03,
1,港股通金融ETF,513190,跨境，香港，金融,16833.2,中证香港银行投资指数,930792,9.92,
2,H股ETF,510900,跨境，香港，中概股,31577.78,恒生中国企业指数,HSCEI.HI,10.52,0.7521671482551678
3,恒生ETF,159920,跨境，香港,67920.28,恒生指数,HSI.HI,11.48,0.6768888888888889
4,自由现金流ETF,159201,,31546.8,自由现金流,980092,15.6098,
5,中证红利质量ETF,159209,,1049.91,红利质量,931468.CSI,16.38,0.17189835575485798
6,法国CAC40ETF,513080,跨境，法国,2915.94,法国CAC40,FCHI.GI,17.92,0.48749696528283565
7,中韩半导体ETF,513310,跨境，韩国,15369.18,中韩半导体,931790.CSI,17.93,0.06505771248688352
8,德国ETF,159561,跨境，德国,14523.76,德国DAX,GDAXI.GI,18.2,0.623948540326571
9,中概互联网ETF,513050,跨境，中概股,164699.27,中国互联网50,H30533.CSI,18.39,0.08135593220338982
10,日经ETF,513520,跨境，日本,6174.19,日经225,N225.GI,20.49,0.5489183874139626
11,恒生互联网ETF,513330,跨境，香港，互联网,236129.88,恒生互联网科技业,HSIII.HI,20.66,0.1289308176100629
12,恒生科技指数ETF,513180,跨境，香港，科技,416560.46,恒生科技指数,HSTECH.HI,20.97,0.14663643235071808
13,港股通互联网ETF,159792,跨境，香港，互联网,157414.06,HKC互联网,931637.CSI,21.9,0.08898305084745763
14,云计算ETF华泰柏瑞,159738,跨境，香港，云计算,2196.2,SHS云计算,931470.CSI,24.85,0.31784660766961653
15,港股汽车ETF,520600,跨境，香港，汽车,53889.48,汽车指数,CN6055,26.0653,
16,创业板新能源ETF国泰,159387,,5892.35,创新能源,399266,30.5712,
17,卫星ETF,159206,,1183.22,卫星通信,980018,32.6295,
18,创业板医药ETF国泰,159377,,1289.74,创医药,399275,33.7292,
19,纳指ETF,159941,跨境，美国,99864.25,纳斯达克100,NDX.GI,34.74,0.8320468458876763
20,恒生医疗ETF,513060,跨境，香港，医药，医疗保健,314231.46,医疗保健,h30178.CSI,45.54,0.3751247090123046
21,教育ETF,513360,跨境，教育,10634.06,中国教育,931456.CSI,56.08,0.2695398100803506
22,科创综指ETF兴银,589580,,8704.09,科创价格,000681,60.64,
23,数字经济ETF工银,561220,,4445.78,数字经济,931582.CSI,61.91,0.798202614379085
24,航空航天ETF,159227,,4985.64,国证航天,CN5082,85.3235,
25,科创综指ETF华夏,589000,,16336.01,科创综指,000680.SH,196.27,
26,港股通50ETF,513550,跨境，香港,5983.04,港股通50,987003,,
27,香港科技ETF,159747,跨境，香港，科技,12481.88,港股科技,987006,,
28,港股通科技30ETF,159636,跨境，香港，科技,71067.09,港股通科技,987008,,
29,港股创新药ETF,513120,跨境，香港，医药,990720.32,创新药,980086,,
