,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,估值,估值百分位,估值类型
0,农牧渔ETF华宝,159275,行业，农牧渔,1003.56,农牧渔,930910.CSI,-27284.74,0.0,PE
1,养殖ETF国泰,159865,行业，畜牧养殖,22817.88,中证畜牧,930707.CSI,-326.85,0.00044365572315882877,PE
2,银行AH优选ETF招商,517900,行业，金融，银行,3773.3,中证银行AH股指数,931039,6.17,,PE
3,银行ETF富国,159887,行业，金融，银行,13990.57,800银行,H30022,6.99,,PE
4,银行ETF华宝,512800,行业，金融，银行,104850.91,中证银行,399986.SZ,7.16,0.8802132329883976,PE
5,金融ETF国泰,510230,行业，金融,8297.86,180金融,000018.SH,7.38,0.39841514417785606,PE
6,证券保险ETF易方达,512070,行业，金融,58840.25,300非银,h30035.CSI,8.54,0.00030120481927710846,PE
7,证券保险ETF鹏华,515630,行业，金融，证券保险,5332.14,800证保,399966,10.16,,PE
8,证券ETF国泰,512880,行业，金融，证券,164755.44,证券公司,399975.SZ,13.46,0.05172413793103448,PE
9,证券ETF东财,159692,行业，金融，证券,7921.29,证券公司30,931412,13.6,0.019509125235997484,PE
10,证券ETF鹏华,159993,行业，金融，证券,7132.03,证券龙头,399437,14.056,0.05252918287937743,PE
11,石油ETF鹏华,159697,行业，石油，天然气,5854.75,国证油气,399439,15.1974,0.8456375838926175,PE
12,油气ETF汇添富,159309,行业，石油，天然气,4579.57,油气资源,931248,15.81,,PE
13,能源ETF汇添富,159930,行业，资源，能源,8324.02,中证能源,000928,15.91,0.9932318104906938,PE
14,家电ETF国泰,159996,行业，家电,8441.0,家用电器,930697.CSI,16.04,0.32065016623568526,PE
15,电力ETF广发,159611,行业，电力,34755.32,电力指数,H30199,16.26,0.2834744433991847,PE
16,养殖ETF华泰柏瑞,159007,行业，农业,1646.3,畜牧养殖,931946,16.87,,PE
17,消费50ETF富国,515650,行业，消费,7400.44,CS消费50,931139.CSI,17.2,0.14626038781163436,PE
18,物流ETF富国,516910,行业，物流,1423.05,CS物流,930716.CSI,17.21,0.39605801413164743,PE
19,消费龙头ETF华宝,516130,行业，消费,1612.57,消费龙头,931068.CSI,17.32,0.12858660998937302,PE
20,石油ETF国泰,561360,行业，石油，天然气,7165.53,油气产业,H30198,17.43,,PE
21,公用事业ETF华夏,159301,行业，公用事业,2291.54,全指公用,000995.CSI,17.62,0.3791689447785675,PE
22,汽车ETF国泰,516110,行业，汽车,1768.05,800汽车,H30015,17.71,,PE
23,大宗商品ETF国联安,510170,行业，资源,1737.79,上证商品,000066,17.73,0.4928571428571429,PE
24,石化ETF华夏,159731,行业，化工，石油化工,5279.42,石化产业,H11057,17.9,,PE
25,资源ETF博时,510410,行业，资源,1697.21,上证资源,000068,18.0,0.9326923076923077,PE
26,船舶ETF富国,560710,行业，船舶,3999.24,智选船舶产业,932420,18.47,,PE
27,消费ETF招商,510150,行业，消费,4198.78,消费80,000069,19.01,0.05583756345177665,PE
28,有色金属ETF华夏,516650,行业，资源，有色金属,21407.83,细分有色,000811.CSI,19.09,0.19913151364764267,PE
29,消费ETF华夏,510630,行业，消费，必选消费,3593.22,上证消费,000036,19.1,0.07261410788381743,PE
30,酒ETF鹏华,512690,行业，食品饮料，酒,35966.92,中证酒指数,399987,19.1,0.39086294416243655,PE
31,有色ETF华宝,159876,行业，资源，有色金属,10374.25,中证有色,930708.CSI,19.4,0.2529976019184652,PE
32,工程机械ETF广发,560280,行业，机械,9962.16,工程机械主题,931752,19.51,,PE
33,粮食ETF鹏华,159698,行业，农业,21626.23,国证粮食,399365,19.839,0.2179930795847751,PE
34,化工ETF鹏华,159870,行业，化工,28833.02,细分化工,000813.CSI,20.16,0.30457290767903367,PE
35,食品饮料ETF华夏,515170,行业，食品饮料,6302.27,细分食品,000815.CSI,20.17,0.20206067544361764,PE
36,食品饮料ETF天弘,159736,行业，食品饮料,1664.9,CS食品饮,930653,20.42,,PE
37,有色ETF鹏华,159880,行业，资源，有色金属,3872.43,国证有色,399395,21.2397,0.32298136645962733,PE
38,消费ETF汇添富,159928,行业，消费，必选消费,28498.07,中证消费,000932.SH,21.66,0.21771483437349975,PE
39,中药ETF汇添富,560080,行业，医药,6885.44,中证中药,930641.CSI,21.88,0.06240875912408759,PE
40,煤炭ETF国泰,515220,行业，煤炭，资源,74361.4,中证煤炭,399998.SZ,21.92,0.8085714285714286,PE
41,工业有色ETF万家,560860,行业，资源，有色金属,26406.49,工业有色,H11059,21.96,,PE
42,医药ETF华安,512120,行业，医药,1952.17,细分医药,000814,23.82,,PE
