,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,估值,估值百分位,估值类型
0,光伏ETF华泰柏瑞,515790,主题，光伏，新兴产业,18660.0,光伏产业,931151.CSI,-700.49,0.003073140749846343,PE
1,基建ETF广发,516970,主题，基建,3378.5,基建工程,399995,9.34,0.6048097631012204,PE
2,基建ETF华夏,159635,主题，基建,2662.91,中证基建,930608.CSI,10.08,0.3658976207642394,PE
3,央企改革ETF华夏,512950,主题，央企,1305.35,结构调整,000860,15.94,,PE
4,交通运输ETF华夏,159666,主题，运输,1947.61,运输指数,399237,16.2561,0.15454545454545454,PE
5,农业ETF易方达,562900,主题，农业,1980.28,CS现代农,930662,17.44,,PE
6,绿电ETF华夏,562550,主题，新兴产业，新能源,7975.7,绿色电力,399438.SZ,19.68,0.6382903567643942,PE
7,汽车零部件ETF易方达,159565,主题，汽车零部件,2745.63,汽车零部件,931230,23.44,,PE
8,成渝经济圈ETF博时,159623,主题，区域，成渝,1000.13,成渝经济圈,931695,23.58,,PE
9,光伏龙头ETF广发,560980,主题，光伏，新兴产业,1746.09,光伏龙头30,931798,24.21,,PE
10,游戏ETF华夏,159869,主题，游戏,44258.9,动漫游戏,930901.CSI,24.26,0.08846153846153847,PE
11,电池ETF汇添富,159796,主题，新兴产业，新能源车,22345.56,CS电池,931719.CSI,24.65,0.12681031437654539,PE
12,国货ETF富国,561130,主题，国产品牌,1154.82,品牌工程,931403,25.29,,PE
13,新能源车ETF华夏,515030,主题，新兴产业，新能源车,13801.18,CS新能车,399976.SZ,25.43,0.2060478199718706,PE
14,科技ETF易方达,159807,主题，新兴产业，科技,4627.75,科技50,970080,25.5204,0.5398230088495575,PE
15,新能源车ETF平安,515700,主题，新兴产业，新能源车,5293.87,新能源车,399417,25.854,0.4046692607003891,PE
16,储能电池ETF易方达,159566,主题，新兴产业，新能源,32325.78,新能源电池,980027,26.1774,0.5297805642633229,PE
17,创业板新能源ETF国泰,159387,主题，新兴产业，新能源,29203.76,创新能源,399266,26.5966,0.24723247232472326,PE
18,稀有金属ETF嘉实,562800,主题，稀有金属,24499.71,CS稀金属,930632.CSI,27.33,0.26862494678586635,PE
19,碳中和ETF华夏,159790,主题，低碳,2261.23,内地低碳,000977.CSI,28.79,0.5653551623976762,PE
20,电网设备ETF华夏,159326,主题，电网设备,66736.76,电网设备主题,931994,29.7,,PE
21,电池ETF广发,159755,主题，新兴产业，新能源车，电池,35783.92,新能电池,980032.CNI,29.81,0.5197657393850659,PE
22,物联网ETF南方,159896,主题，物联网,1407.64,CS物联网,930712.CSI,31.48,0.37351190476190477,PE
23,智能驾驶ETF华泰柏瑞,516520,主题，智能汽车,4605.73,CS智汽车,930721.CSI,32.25,0.09977661950856292,PE
24,稀土ETF嘉实,516150,主题，稀土,15164.65,稀土产业,930598.CSI,32.6,0.3287671232876712,PE
25,新能源ETF南方,516160,主题，新能源，新兴产业,13300.03,中证新能,399808.SZ,33.3,0.35021398002853066,PE
26,科技50ETF富国,515750,主题，新兴产业，科技,1214.47,中证科技,931186,34.69,,PE
27,影视ETF国泰,516620,主题，TMT，影视,1958.12,中证影视,930781,35.01,,PE
28,金融科技ETF华宝,159851,主题，金融科技,18337.74,金融科技,930986.CSI,42.74,0.1967287596547024,PE
29,5GETF博时,159811,主题，新兴产业，5G,3456.36,5G50,931406,43.91,,PE
30,通信ETF华夏,515050,主题，新兴产业，5G,115872.58,5G通信,931079.CSI,46.47,0.8471910112359551,PE
31,科技ETF华宝,515000,主题，新兴产业，科技,19259.82,科技龙头,931087.CSI,49.14,0.7191135734072022,PE
32,消费电子ETF华夏,159732,主题，消费电子,44524.56,消费电子,931494.CSI,49.95,0.7541528239202658,PE
33,人工智能ETF易方达,159819,主题，新兴产业，人工智能,60791.41,CS人工智,930713.CSI,49.99,0.3288690476190476,PE
34,创业板软件ETF华夏,159256,主题，软件，中小盘,8735.87,创业软件,399264,50.9555,,PE
35,大数据ETF富国,515400,主题，新兴产业,10487.76,中证数据,930902,52.33,,PE
36,人工智能ETF华富,515980,主题，新兴产业，人工智能,25370.59,人工智能,931071.CSI,52.56,0.620817843866171,PE
37,机器人ETF易方达,159530,主题，新兴产业，机器人,100292.68,机器人,H30590.CSI,52.8,0.5049928673323824,PE
38,生物科技ETF易方达,159837,主题，新兴产业，生物科技,6276.89,中证生科,930743.CSI,57.35,0.7008611007113441,PE
39,央企科技ETF南方,560170,主题，央企，新兴产业,3366.94,央企科技引领,932038,59.92,,PE
40,创业板人工智能ETF华宝,159363,主题，新兴产业，人工智能,144527.62,创业板人工智能,970070,60.8711,,PE
