,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
0,黄金ETF,518880,5.286,9985,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,138251.54,10312,11373,12299,14510,19090,161.66
1,豆粕ETF,159985,2.188,10051,9962,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,19632.73,10239,10023,12397,17040,10000,14.5
2,纳指ETF,513100,1.299,10008,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,57525.44,9716,10709,14074,13959,23081,118.97
3,红利低波ETF,512890,1.04,10039,10000,策略，红利,0.60%,华泰柏瑞基金,2019-01-18,红利低波指数,51586.33,10246,11379,10833,14355,18246,59.23
4,沪深300ETF,510300,3.598,9950,10008,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,356081.52,10204,10503,9131,7328,10021,1952.36
5,创业板ETF,159915,1.816,9886,10045,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,146757.61,10271,9859,8053,6152,11724,550.53
6,有色金属ETF,512400,1.069,9907,10005,行业，资源，有色金属,0.60%,南方基金,2017-09-01,有色金属指数,18227.38,10210,11312,9605,9701,16755,42.2
7,标普500ETF,513500,1.758,10023,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,21997.2,9472,10967,13090,13628,18975,122.04
8,恒生ETF,159920,1.059,9991,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,63194.27,10654,10622,9455,6953,6819,153.16
9,通信ETF,515880,1.189,9875,9988,行业，TMT，通信,0.60%,国泰基金,2019-09-06,通信设备指数,33205.79,10285,11499,11112,12771,10000,27.93
10,德国ETF,513030,1.358,9963,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,7401.46,9638,10593,11242,10908,13419,8.54
11,恒生互联网ETF,513330,0.374,9947,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,366492.22,10841,10747,8990,4284,10000,294.89
12,煤炭ETF,515220,1.244,10065,10005,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,24435.35,10008,10757,11710,17835,10000,34.38
13,中概互联网ETF,513050,1.01,9912,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,127368.97,10837,10756,9951,4839,7734,333.6
14,证券ETF,512880,0.873,9820,10004,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,142024.23,10199,9678,9407,8378,8730,301.53
15,科创50ETF,588000,0.804,9901,10012,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,199978.64,10050,8963,7096,5899,10000,729.32
16,红利低波50ETF,515450,1.352,10060,10000,策略，低波动，红利,0.60%,南方基金,2020-02-26,标普中国A股大盘红利低波50指数,3921.53,10321,11458,11155,14021,10000,17.04
17,电力ETF,159611,0.987,10061,10021,行业，电力,0.60%,广发基金,2022-01-07,电力指数,11793.08,10165,11371,10834,10000,10000,20.36
18,黄金股ETF,517520,1.231,9848,10029,行业，黄金,0.60%,永赢基金,2023-11-01,SSH黄金股票指数,6552.83,10319,12497,10000,10000,10000,2.96
19,医疗ETF,512170,0.336,9882,9969,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,42306.5,10030,8593,7134,3944,10000,223.6
20,消费ETF,159928,0.88,10011,10013,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,9513.22,10173,10317,8782,6774,12828,92.24
21,红利低波100ETF,515100,1.372,10000,10026,策略，低波动，红利,0.60%,景顺长城基金,2020-07-03,红利低波100指数,16179.46,10386,10752,10379,13999,10000,74.21
22,人工智能ETF,159819,0.758,9961,10000,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,44539.32,10271,10120,8507,8385,10000,58.16
23,半导体ETF,512480,0.704,9874,9993,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,70573.47,9986,8756,7326,7012,10000,194.29
24,日经ETF,513520,1.434,10014,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,13787.68,9163,10880,12838,11221,10000,9.17
25,港股创新药ETF,513120,0.645,9847,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,109467.67,10047,8113,6988,10000,10000,57.58
