,fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,t0,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
0,159150,深证50ETF易方达,399850,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159150.shtml,Y,N,,,40800,,4.35,-0.04,1.066,1606.84,2024-04-30,15:14:39,-0.65,1.0624,23:50:00,0.06,1.0654,2024-04-30,深证50,-0.92,2024-04-30,0,0,-,-
1,159350,深证50ETF富国,399850,0.60,0.50,0.10,100.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/159350/index.html,Y,N,,,64801,,6.88,-0.17,1.062,3675.90,2024-04-30,15:14:42,-0.75,1.0599,23:50:00,-0.08,1.0628,2024-04-30,深证50,-0.92,2024-04-30,0,0,-,-
2,159503,财富管理ETF,-,0.60,0.50,0.10,50.0,鹏扬基金,https://www.pyamc.com/front/productDetail_100236_159503.jhtml,Y,N,,,4378,,0.43,-0.10,0.991,1110.81,2024-04-30,15:14:45,-1.29,0.9921,23:50:00,-0.13,0.9923,2024-04-30,财富管理,-1.27,2024-04-30,0,0,-,-
3,159505,国证2000指数ETF,399303,0.60,0.50,0.10,300.0,博时基金,https://www.bosera.com/fund/159505.html,Y,N,,,5510,,0.50,0.00,0.914,182.05,2024-04-30,15:14:45,-0.44,0.9136,23:50:00,-0.14,0.9153,2024-04-30,国证2000,-0.68,2024-04-30,0,0,-,-
4,159507,电信ETF,399389,0.60,0.50,0.10,100.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159507,Y,N,,,6594,,0.61,0.00,0.932,241.20,2024-04-30,15:14:42,-1.06,0.9317,23:50:00,0.01,0.9319,2024-04-30,国证通信,-0.92,2024-04-30,0,0,-,-
5,159508,生物医药ETF基金,399441,0.60,0.50,0.10,60.0,华安基金,https://www.huaan.com.cn/funds/159508/index.shtml,Y,N,,,14383,,1.17,0.00,0.812,81.59,2024-04-30,15:14:42,-0.37,0.8106,23:50:00,0.16,0.8107,2024-04-30,生物医药,-0.56,2024-04-30,0,0,-,-
6,159510,沪深300价值ETF,-,0.60,0.50,0.10,100.0,华夏基金,https://www.chinaamc.com/fund/159510/index.shtml,Y,N,,,14713,,1.43,0.00,0.969,697.82,2024-04-30,15:14:45,0.00,0.9649,23:50:00,0.32,0.9659,2024-04-30,300价值稳健,-0.41,2024-04-30,0,0,-,-
7,159511,通信ETF基金,-,0.60,0.50,0.10,50.0,南方基金,https://www.nffund.com/main/nffund/personal-financing/detail.shtml?fundCode=159511,Y,N,,,4594,,0.43,0.01,0.932,162.37,2024-04-30,15:14:45,-1.06,0.9302,23:50:00,0.19,0.9302,2024-04-30,800通信,-1.27,2024-04-30,0,0,-,-
8,159512,汽车ETF,-,0.60,0.50,0.10,200.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159512,Y,N,,,7326,,0.83,0.11,1.137,2724.36,2024-04-30,15:14:51,-2.82,1.1313,23:50:00,0.48,1.1316,2024-04-30,汽车指数,-2.88,2024-04-30,0,0,-,-
9,159515,国企红利ETF,-,0.60,0.50,0.10,30.0,鹏扬基金,https://www.pyamc.com/front/productDetail_100236_159515.jhtml,Y,N,,,11709,,1.20,0.12,1.023,138.35,2024-04-30,15:14:48,-0.20,1.0224,23:50:00,0.05,1.0225,2024-04-30,国企红利,-0.23,2024-04-30,0,0,-,-
