,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,银行ETF,512800,行业，金融，银行,27340.98,中证银行,399986.SZ,5.42,0.33917015607156453
1,红利ETF,510880,策略，红利,44193.56,红利指数,000015,6.36,
2,红利低波ETF,512890,策略，红利,51586.33,红利低波,h30269.CSI,6.48,0.45299484331614437
3,红利低波100ETF,515100,策略，低波动，红利,16179.46,红利低波100,930955.CSI,6.5,0.3842042755344418
4,金融ETF,510230,行业，金融,3013.21,180金融,000018.SH,6.7,0.2552763819095477
5,中证红利ETF,515080,策略，红利,20059.14,中证红利,000922.CSI,7.05,0.25193598347960766
6,基建ETF,516950,主题，基建,5365.96,中证基建,930608.CSI,7.79,0.06286748077792854
7,H股ETF,510900,跨境，香港，中概股,51410.94,恒生中国企业指数,HSCEI.HI,8.05,0.3063106796116505
8,红利低波ETF基金,515300,策略，红利，低波动,3895.14,300红利LV,930740.CSI,8.09,0.8871090770404272
9,财富管理ETF,159503,主题，金融，理财,1041.09,财富管理,CN5074,8.3132,
10,房地产ETF,512200,行业，金融，房地产,30690.21,地产指数,399241,8.4807,
11,基本面50ETF,512750,策略，价值,1205.08,基本面50,000925.CSI,8.58,0.35836269991867714
12,恒生ETF,159920,跨境，香港,63194.27,恒生指数,HSI.HI,9.11,0.20728155339805826
13,能源ETF,159930,行业，资源，能源,4186.82,中证能源,000928,10.01,
14,金融地产ETF,510650,行业，金融,1017.9,金融指数,399240,10.638,
15,MSCI中国A50ETF,560050,MSCI,19141.18,MSCI中国A50互联互通,746059.MI,10.88,0.6184384649316277
16,资源ETF,510410,行业，资源,3889.6,上证资源,000068,11.31,
17,工业有色ETF,560860,行业，资源，有色金属,2453.41,有色指数,CN6051,11.5952,
18,交运ETF,159662,主题，运输,1207.56,国证交运,399433,12.436,
19,煤炭ETF,515220,行业，煤炭，资源,24435.35,中证煤炭,399998.SZ,12.55,0.6581769436997319
20,油气ETF,159697,行业，石油，天然气,1157.97,国证油气,399439,12.885,
21,央企创新驱动ETF,515900,主题，央企,6805.66,央企创新,000861.CSI,13.14,0.5452282157676348
22,物流ETF,516910,行业，物流,1653.71,CS物流,930716.CSI,13.38,0.15098777046095954
23,法国CAC40ETF,513080,跨境，法国,2250.2,法国CAC40,FCHI.GI,13.86,0.18824531516183987
24,德国ETF,513030,跨境，德国,7401.46,德国DAX,GDAXI.GI,14.86,0.3962215320910973
25,深红利ETF,159905,策略，红利,4226.76,深证红利,399324.SZ,15.05,0.3071123397838653
26,家电ETF,159996,行业，家电,9773.23,家用电器,930697.CSI,16.0,0.27472014925373134
27,证券保险ETF,512070,行业，金融,15289.69,300非银,h30035.CSI,16.48,0.47188973521944144
28,新能车ETF,515700,主题，新兴产业，新能源车,9415.91,新能源车,399417,17.3011,
29,沪深300成长ETF,562310,策略，成长,2516.28,300成长,000918.CSI,17.34,0.7007077856420627
30,日经225ETF,513880,跨境，日本,13862.96,日经225,N225.GI,17.41,0.23510380156376381
31,光伏ETF,515790,主题，光伏，新兴产业,32407.84,光伏产业,931151.CSI,17.92,0.20081967213114754
32,碳中和100ETF,562990,主题，环保，新兴产业,1568.37,SEEE碳中和,931755.CSI,18.18,0.3534201954397394
33,证券ETF龙头,159993,行业，金融，证券,5302.75,证券龙头,399437,18.8718,
34,绿色电力ETF,159625,主题，新兴产业，新能源,1855.04,绿色电力,399438.SZ,19.01,0.5535478184222125
35,红利50ETF,159758,策略，红利，价值,1849.37,红利质量,931468.CSI,19.29,0.38204592901878914
36,深证50ETF富国,159350,策略，价值,4587.22,深证50,399850,19.5467,
37,碳中和ETF,159790,主题，低碳,2990.67,内地低碳,000977.CSI,20.15,0.11569478908188585
38,科创新材料ETF,588010,主题，新材料，科创板,1213.05,科创材料,000689,20.26,
39,生物医药ETF,159859,行业，医药，生物科技,4880.94,生物医药,399441,20.3326,
40,新能源ETF,516160,主题，新能源，新兴产业,14889.25,中证新能,399808.SZ,20.62,0.12315930388219545
