,name,code,index_name,index_id,市盈率,市盈率百分位
0,创业板ETF广发,159952,创业板指,399006.SZ,28.55,0.041124260355029585
1,创业板ETF,159915,创业板指,399006.SZ,28.55,0.041124260355029585
2,创业板ETF南方,159948,创业板指,399006.SZ,28.55,0.041124260355029585
3,创业板ETF博时,159908,创业板指,399006.SZ,28.55,0.041124260355029585
4,创业50ETF,159682,创业板50,399673.SZ,25.6,0.04621149042464613
5,创50ETF,159681,创业板50,399673.SZ,25.6,0.04621149042464613
6,创业板50ETF,159949,创业板50,399673.SZ,25.6,0.04621149042464613
7,传媒ETF,159805,中证传媒,399971.SZ,23.71,0.049079754601226995
8,传媒ETF,512980,中证传媒,399971.SZ,23.71,0.049079754601226995
9,基建50ETF,159635,中证基建,930608.CSI,7.79,0.06286748077792854
10,基建ETF,159619,中证基建,930608.CSI,7.79,0.06286748077792854
11,基建ETF,516950,中证基建,930608.CSI,7.79,0.06286748077792854
12,中概互联网ETF,513050,中国互联网50,H30533.CSI,20.9,0.06502636203866433
13,电池ETF,561910,CS电池,931719.CSI,23.26,0.0718694885361552
14,电池50ETF,159796,CS电池,931719.CSI,23.26,0.0718694885361552
15,锂电池ETF,561160,CS电池,931719.CSI,23.26,0.0718694885361552
16,恒生互联网ETF,513330,恒生互联网科技业,HSIII.HI,22.2,0.07855822550831792
17,恒生互联网ETF,159688,恒生互联网科技业,HSIII.HI,22.2,0.07855822550831792
18,机器人ETF,159770,机器人,H30590.CSI,38.35,0.08656849620705043
19,机器人ETF,562500,机器人,H30590.CSI,38.35,0.08656849620705043
20,机器人指数ETF,159526,机器人,H30590.CSI,38.35,0.08656849620705043
21,机器人产业ETF,159551,机器人,H30590.CSI,38.35,0.08656849620705043
22,智能汽车ETF,515250,CS智汽车,930721.CSI,33.13,0.09985869053226566
23,智能车ETF,159888,CS智汽车,930721.CSI,33.13,0.09985869053226566
24,碳中和50ETF,516070,内地低碳,000977.CSI,20.15,0.11569478908188585
25,碳中和ETF,159790,内地低碳,000977.CSI,20.15,0.11569478908188585
26,新能源ETF,516160,中证新能,399808.SZ,20.62,0.12315930388219545
27,新能源ETF易方达,516090,中证新能,399808.SZ,20.62,0.12315930388219545
28,新能源ETF,159875,中证新能,399808.SZ,20.62,0.12315930388219545
29,科技ETF,515000,科技龙头,931087.CSI,31.72,0.13285024154589373
30,消费50ETF,515650,CS消费50,931139.CSI,22.59,0.13768115942028986
31,科创成长ETF,588110,创成长,399296.SZ,29.54,0.13805697589481372
32,科创成长50ETF,588020,创成长,399296.SZ,29.54,0.13805697589481372
33,创业板成长ETF,159967,创成长,399296.SZ,29.54,0.13805697589481372
34,恒生科技ETF基金,513260,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
35,恒生科技ETF龙头,513380,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
36,恒生科技30ETF,513010,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
37,恒生科技指数ETF,159742,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
38,恒生科技HKETF,513890,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
39,恒生科技ETF指数基金,513580,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
40,恒生科技ETF,159740,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
41,恒生科技ETF,513130,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
42,恒生科技ETF基金,159741,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
43,恒生科技指数ETF,513180,恒生科技指数,HSTECH.HI,22.9,0.14103923647932132
44,物流ETF,516910,CS物流,930716.CSI,13.38,0.15098777046095954
45,科创创业ETF,588360,科创创业50,931643.CSI,27.88,0.153954802259887
46,科创创业ETF,159781,科创创业50,931643.CSI,27.88,0.153954802259887
47,双创ETF,588300,科创创业50,931643.CSI,27.88,0.153954802259887
48,科创创业指数ETF,588400,科创创业50,931643.CSI,27.88,0.153954802259887
49,双创龙头ETF,588330,科创创业50,931643.CSI,27.88,0.153954802259887
50,科创创业50ETF,588390,科创创业50,931643.CSI,27.88,0.153954802259887
51,双创50ETF,588380,科创创业50,931643.CSI,27.88,0.153954802259887
52,科创创业50ETF,159783,科创创业50,931643.CSI,27.88,0.153954802259887
53,双创ETF,159780,科创创业50,931643.CSI,27.88,0.153954802259887
54,军工ETF易方达,512560,中证军工,399967.SZ,54.25,0.15659777424483307
55,国防军工ETF,512810,中证军工,399967.SZ,54.25,0.15659777424483307
56,军工ETF龙头,512680,中证军工,399967.SZ,54.25,0.15659777424483307
57,军工ETF,512660,中证军工,399967.SZ,54.25,0.15659777424483307
58,医疗ETF,159828,中证医疗,399989.SZ,30.8,0.16270012981393336
59,医疗ETF,512170,中证医疗,399989.SZ,30.8,0.16270012981393336
60,医疗ETF龙头,560260,中证医疗,399989.SZ,30.8,0.16270012981393336
