,代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值
0,159562,黄金股ETF,1.759,0.16,10.01,333207.0,56573124.274,1.599,1.759,1.545,1.599,75.5,77625550,77625550
1,517520,黄金股ETF,1.265,0.052,4.29,1446535.0,180902664.0,1.235,1.27,1.23,1.213,43.06,424918560,424918560
2,159876,有色龙头ETF,1.165,0.043,3.83,107394.0,12328892.8,1.127,1.165,1.124,1.122,22.95,54508613,54508613
3,159871,有色金属ETF,1.13,0.04,3.67,237069.0,26349472.5,1.1,1.13,1.091,1.09,28.44,94203806,94203806
4,159881,有色60ETF,1.076,0.037,3.56,365442.0,38797113.3,1.043,1.077,1.041,1.039,17.38,226228462,226228462
5,159880,有色ETF基金,1.115,0.037,3.43,94256.0,10355348.196,1.08,1.118,1.08,1.078,13.27,79222443,79222443
6,159652,有色50ETF,0.953,0.031,3.36,668371.0,62557487.38,0.939,0.953,0.922,0.922,18.2,350056158,350056158
7,512400,有色金属ETF,1.114,0.036,3.34,4120930.0,454143208.0,1.088,1.119,1.079,1.078,10.19,4506173455,4506173455
8,159690,矿业ETF,1.081,0.034,3.25,38122.0,4067078.745,1.047,1.084,1.047,1.047,28.96,14230260,14230260
9,560860,工业有色ETF,0.885,0.027,3.15,235872.0,20581582.0,0.864,0.887,0.855,0.858,7.96,262166212,262166212
10,561330,矿业ETF,1.054,0.032,3.13,98885.0,10256985.0,1.053,1.056,1.024,1.022,18.42,56595689,56595689
11,516650,有色50ETF,1.07,0.032,3.08,212997.0,22574378.0,1.088,1.088,1.039,1.038,26.15,87167336,87167336
12,510170,大宗商品ETF,0.917,0.026,2.92,168497.0,15310953.0,0.891,0.92,0.891,0.891,6.99,220918872,220918872
13,159693,有色矿业ETF,1.213,0.034,2.88,18071.0,2180599.616,1.18,1.218,1.18,1.179,10.1,21707603,21707603
14,510410,资源ETF,1.291,0.035,2.79,533316.0,68171301.0,1.263,1.292,1.261,1.256,11.32,608394594,608394594
15,515220,煤炭ETF,2.544,0.066,2.66,1395473.0,351419846.0,2.475,2.547,2.468,2.478,9.73,3648321134,3648321134
16,516760,养殖ETF,0.676,0.016,2.42,89327.0,5992205.0,0.663,0.676,0.659,0.66,3.61,167117408,167117408
17,159945,能源ETF基金,1.213,0.028,2.36,40210.0,4825540.127,1.195,1.213,1.188,1.185,13.83,35264733,35264733
18,562800,稀有金属ETF,0.527,0.012,2.33,1843941.0,96912578.0,0.517,0.534,0.514,0.515,9.66,1005513369,1005513369
19,561800,稀有金属ETF基金,0.57,0.012,2.15,134786.0,7623390.0,0.559,0.574,0.552,0.558,7.9,97229004,97229004
20,159671,稀有金属ETF基金,0.725,0.015,2.11,957095.0,69033498.454,0.711,0.734,0.707,0.71,9.27,748599980,748599980
21,159608,稀有金属ETF,0.586,0.012,2.09,507179.0,29580980.5,0.575,0.594,0.572,0.574,11.83,251282660,251282660
22,159616,农牧ETF,0.713,0.014,2.0,78764.0,5578018.554,0.706,0.714,0.7,0.699,7.12,78830064,78830064
23,159715,稀土ETF易方达,0.622,0.012,1.97,213553.0,13257170.317,0.61,0.627,0.608,0.61,6.56,202479789,202479789
24,159825,农业ETF,0.717,0.013,1.85,752383.0,53678251.244,0.704,0.718,0.702,0.704,2.41,2242831502,2242831502
