,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
0,399001,深证成指,500,9544.7657,-0.0044,18.8757,150870.59921,2233.7659335031,190407.7980110764,98142.8091386196
1,399002,深成指R,500,12308.8148,-0.0044,18.8757,150870.59921,2233.7659335031,190407.7980110764,98142.8091386196
2,399003,成份Ｂ指,10,7297.7798,0.0013,8.3502,72.40196,0.4261567728,355.2849898175,293.9067149427
3,399004,深证100R,100,5810.7301,-0.0047,17.4184,40863.26249,788.9448518080001,109396.1994575866,55635.679826291904
4,399005,中小100,100,5862.4202,-0.0056,17.2544,34202.98694,573.016054043,53905.2007715737,27379.458234041802
5,399006,创业板指,100,1840.412,-0.0108,25.828,15093.66457,525.3764247027,47980.035823876395,25679.907150993702
6,399007,深证300,300,4050.82,-0.0041,18.2992,106402.65003,1715.754748341,161965.7564360881,83128.7522050826
7,399008,中小300,300,1178.8545,-0.0059,18.3587,82134.94735,1064.0902350566,79392.3675242972,41008.033886174504
8,399009,深证200,200,3516.3317,-0.0028,20.6271,65539.38754,926.809896533,52569.5569785015,27493.072378790697
9,399010,深证700,700,6090.4657,-0.0096,23.5739,143193.37416,1529.5437126573001,68668.44233228509,36453.897580450895
10,399011,深证1000,1000,4616.1824,-0.0058,19.4963,249596.02419,3245.2984609983,230634.1987683732,119582.64978553349
11,399012,创业300,300,2658.6964,-0.0128,27.5087,52246.64155,1032.9264606396,67707.8478982251,36416.9289386003
12,399013,深市精选,0,4302.0572,-0.0029,17.1353,131228.65809,1812.3331413683,143720.2975625772,72198.3335384784
13,399015,中小创新,500,2067.0362,-0.0121,23.6374,98725.42498,1011.5325274952,40226.400757296804,21439.840646913897
14,399016,深证创新,100,3583.0132,-0.0125,22.867,29066.41958,606.7096329211,55158.7070044349,1371.3185012704
15,399017,SME创新,100,3140.4466,-0.0126,20.5813,27973.10178,509.3929857208,34802.2519166861,1415.4614607257001
16,399018,创业创新,100,3669.247,-0.0116,25.8068,13850.71097,420.7732878525,35113.2966341432,799.4785386467
17,399019,创业200,200,2884.5964,-0.0173,33.1356,38551.35851,498.6755320633,18410.1630842456,10333.352373055799
18,399020,创业小盘,300,1159.6598,-0.0193,33.1196,31584.16703,369.2588264217,13978.0906856838,7386.7296381719
19,399030,碳科技30,30,2775.4926,-0.0086,19.81,6033.52699,204.6118550811,18320.5421626166,6909.4329043722
