,指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
0,道琼斯美国石油开发与生产,8.29,0.77,2.72,83.32,3.88,82.66,DJSOEP.GI,2013-03-26,2024-04-01
1,生物制品(申万),22.45,1.11,2.5,0.53,0.84,96.63,801152.SI,2003-10-16,2024-04-03
2,光伏设备(申万),11.41,1.85,2.4,8.26,2.38,98.27,801735.SI,2021-12-13,2024-04-03
3,国证生物医药,26.04,2.1,2.96,0.31,1.12,99.51,399441.SZ,2015-01-20,2024-04-03
4,创业板指,27.51,2.42,3.59,5.55,0.96,97.29,399006.SZ,2010-06-01,2024-04-03
5,创业板50,24.67,2.56,4.02,7.71,0.93,96.77,399673.SZ,2014-06-18,2024-04-03
6,宁组合,22.56,2.71,4.14,9.91,0.98,96.96,8841447.WI,,2024-04-03
7,国防军工(申万),48.73,2.76,2.61,24.06,0.54,97.49,801740.SI,2014-02-21,2024-04-03
8,SHS创新药,27.05,2.99,2.86,0.5,1.27,99.2,931409.CSI,2020-02-20,2024-04-03
9,300医药,25.21,3.08,3.47,1.4,1.49,99.71,000913.SH,2004-12-31,2024-04-03
10,澳洲标普200,14.57,3.12,2.12,62.31,4.49,57.53,AS51.GI,2014-11-24,2023-05-29
11,全指工业,15.94,3.45,1.6,9.62,1.92,93.79,000988.CSI,2011-08-02,2024-04-03
12,创新100,30.86,3.45,3.27,2.02,1.28,96.04,931159.CSI,2019-05-16,2024-04-03
13,中证高装,23.54,3.52,2.48,13.86,1.33,96.84,930599.CSI,2015-03-02,2024-04-03
14,电力设备(申万),17.37,3.58,2.31,20.47,1.44,97.16,801730.SI,2014-02-21,2024-04-03
15,创业板综,42.93,3.78,2.89,3.37,0.86,98.36,399102.SZ,2010-08-20,2024-04-03
16,中证环保,16.42,3.86,2.23,15.82,2.0,94.41,000827.SH,2012-09-25,2024-04-03
17,SHS消费龙头,23.16,4.03,4.98,56.71,2.4,92.02,931663.CSI,2015-03-13,2024-04-03
18,中国互联网50,19.1,4.08,2.22,2.84,0.88,98.54,H30533.CSI,2014-12-29,2024-04-01
19,创业板成长,25.84,4.4,4.01,11.63,0.91,94.7,399667.SZ,2013-01-07,2024-04-03
20,内地低碳,15.84,4.69,2.42,19.07,2.12,95.11,000977.CSI,2011-01-21,2024-04-03
21,细分机械,17.22,5.01,2.21,25.85,1.7,95.15,000812.CSI,2012-04-11,2024-04-03
22,法国CAC40,13.86,5.02,1.68,72.36,2.93,25.9,FCHI.GI,1987-07-09,2023-05-29
23,CS电池,21.23,5.06,2.96,32.54,0.95,88.27,931719.CSI,2013-07-15,2024-04-03
24,环保50,15.84,5.25,2.42,18.86,2.12,93.38,930614.CSI,2015-04-07,2024-04-03
25,港股通50(HKD),7.87,5.4,0.76,1.32,4.56,97.3,930931.CSI,2017-01-16,2024-04-01
26,光伏产业,11.8,5.4,2.09,23.33,2.52,95.84,931151.CSI,2019-04-22,2024-04-03
27,恒生互联网科技业,20.4,5.78,2.13,3.78,1.03,97.6,HSIII.HI,2015-08-17,2024-04-01
28,俄罗斯RTS,4.37,6.15,0.77,28.1,10.54,98.78,RTS.GI,1899-12-30,2022-11-25
29,中证基建,7.79,6.15,0.8,4.19,2.82,93.76,930608.CSI,2015-03-31,2024-04-03
30,中证新能,14.73,6.83,2.19,14.34,1.97,96.45,399808.SZ,2015-02-10,2024-04-03
31,1000价值稳健,16.37,6.89,1.18,4.23,2.93,96.98,931588.CSI,2020-11-09,2024-04-03
32,CS生医,30.3,7.41,3.9,0.28,1.58,99.57,930726.CSI,2015-08-05,2024-04-03
33,中证新能源,14.73,7.53,2.19,15.36,1.97,96.09,930771.CSI,2015-12-16,2024-04-03
34,创价值,25.62,7.83,4.4,5.06,1.19,93.97,399295.SZ,2019-01-23,2024-04-03
35,中证医药,26.93,7.85,2.93,0.29,1.61,99.42,000933.SH,2009-07-03,2024-04-03
36,上证380,13.63,7.89,1.5,4.93,2.74,95.4,000009.SH,2010-11-29,2024-04-03
37,深创100,18.3,8.07,2.65,5.48,1.53,91.04,399088.SZ,2020-02-18,2024-04-03
38,恒生指数,8.49,8.3,0.84,2.5,4.33,95.43,HSI.HI,1969-11-24,2024-04-01
39,中证基建工程,6.86,8.38,0.72,2.9,2.97,94.61,399995.SZ,2015-03-12,2024-04-03
40,CS消费50,21.99,8.57,4.54,4.73,2.47,86.29,931139.CSI,2019-03-20,2024-04-03
41,沪港深500,10.98,9.18,1.13,4.25,3.43,94.65,H30455.CSI,2014-11-28,2024-04-01
42,科创创业50,27.21,9.55,3.85,6.37,1.1,89.87,931643.CSI,2021-06-01,2024-04-03
43,恒生科技指数,21.2,9.61,2.05,5.74,1.02,99.89,HSTECH.HI,2020-07-27,2024-04-03
44,CS高端制,26.66,9.73,2.54,11.04,1.27,89.22,930820.CSI,2016-05-11,2024-04-03
45,新材料,17.48,10.15,2.61,22.11,1.6,92.26,H30597.CSI,2015-02-13,2024-04-03
46,全指通信,21.24,10.23,1.81,13.28,1.89,91.16,000994.CSI,2011-08-02,2024-04-03
47,中盘成长,15.37,10.32,2.47,17.26,2.41,97.49,399374.SZ,2010-01-04,2024-04-03
48,中证医疗,29.42,10.68,3.62,0.17,1.82,99.65,399989.SZ,2014-10-31,2024-04-03
49,中证军工,52.55,11.14,2.58,16.36,0.56,96.42,399967.SZ,2013-12-26,2024-04-03
50,全指可选,19.41,11.43,2.26,23.35,1.89,70.78,000989.SH,2011-08-02,2024-04-03
51,国证2000,35.25,11.67,1.92,4.97,1.27,97.41,399303.SZ,2014-03-28,2024-04-03
52,新能电池,19.69,11.94,3.02,3.02,0.97,40.59,980032.CNI,2015-02-17,2024-04-03
53,通信(申万),30.04,12.25,2.24,25.03,1.71,86.89,801770.SI,2014-02-21,2024-04-03
54,380成长,14.25,12.41,2.37,16.77,2.79,96.79,000117.SH,2011-10-18,2024-04-03
55,SHS互联网,32.55,12.89,3.26,7.16,0.6,93.35,930625.CSI,2015-04-21,2024-04-03
56,CS新能车,19.75,13.38,2.98,11.26,1.23,91.17,399976.SZ,2014-11-28,2024-04-03
57,食品饮料(申万),24.68,13.6,5.17,40.65,2.35,94.25,801120.SI,2003-10-16,2024-04-03
58,医药生物(申万),25.92,13.85,2.45,0.7,1.39,98.85,801150.SI,2003-10-16,2024-04-03
59,建筑装饰(申万),9.06,14.22,0.76,2.96,2.45,93.42,801720.SI,2014-02-21,2024-04-03
60,通信设备(申万),32.04,14.3,2.88,31.28,0.75,95.03,801102.SI,2003-10-16,2024-04-03
61,通信设备,26.81,14.3,3.04,23.84,1.46,91.29,931160.CSI,2013-07-15,2024-04-03
62,养老产业,19.4,14.92,1.79,0.71,2.29,98.62,399812.SZ,2014-06-06,2024-04-03
63,纺织服饰(申万),21.46,14.96,1.74,18.33,2.59,72.96,801130.SI,2003-10-16,2024-04-03
64,CS物流,13.56,15.13,1.28,6.26,3.27,85.16,930716.CSI,2015-07-31,2024-04-03
65,深证100,18.56,15.66,2.34,12.95,1.79,95.56,399330.SZ,2006-01-24,2024-04-03
66,全指消费,27.57,15.7,5.24,54.25,2.27,95.93,000990.CSI,2011-08-02,2024-04-03
67,英国富时100,13.71,15.88,1.7,34.63,3.39,9.77,FTSE.GI,1984-01-03,2024-04-01
68,有色金属(申万),20.04,16.48,2.35,32.14,1.58,92.44,801050.SI,2003-10-16,2024-04-03
69,中盘指数(申万),17.92,16.77,1.69,6.17,1.81,89.72,801812.SI,1999-12-30,2024-04-03
70,小盘指数(申万),23.01,16.81,1.6,4.6,1.54,94.62,801813.SI,1999-12-30,2024-04-03
71,美容护理(申万),29.14,17.22,3.33,19.28,1.28,97.16,801980.SI,2021-12-13,2024-04-03
72,中证中药,25.23,17.45,2.63,13.42,1.82,91.53,930641.CSI,2015-05-19,2024-04-03
73,细分食品,25.07,17.67,5.96,46.77,2.36,94.16,000815.CSI,2012-04-11,2024-04-03
74,化学制药(申万),32.15,18.08,2.5,1.89,0.95,79.12,801151.SI,2003-10-16,2024-04-03
75,沪深300非周期,19.77,18.21,2.37,14.88,1.87,88.2,000969.CSI,2010-05-28,2024-04-03
76,中证全指运输指数,17.07,18.25,1.32,9.17,2.64,83.68,H30171.CSI,2013-07-15,2024-04-03
77,创成长,32.18,18.34,4.89,6.83,0.88,93.65,399296.SZ,2019-01-23,2024-04-03
78,保险Ⅱ(申万),9.35,18.62,0.87,1.44,3.55,92.03,801194.SI,2003-10-16,2024-04-03
79,深证成长,19.73,18.74,2.9,12.95,1.24,67.04,399346.SZ,2009-11-04,2024-04-03
80,SEEE碳中和,15.95,18.76,2.09,17.92,2.06,81.07,931755.CSI,2021-10-21,2024-04-03
81,380价值,8.57,19.19,1.0,18.78,4.51,88.7,000118.SH,2011-10-18,2024-04-03
82,50AH优选,8.62,19.19,0.96,6.53,3.62,94.41,950090.CSI,2015-12-10,2024-04-03
83,CS物联网,28.05,19.39,3.16,12.19,1.24,86.53,930712.CSI,2015-07-31,2024-04-03
84,深证成指,21.35,19.48,2.09,10.89,1.62,89.77,399001.SZ,1995-01-23,2024-04-03
85,中国教育,48.86,19.55,3.31,37.17,1.0,58.66,931456.CSI,2020-04-21,2024-04-03
86,疫苗生科,35.33,20.32,3.52,0.32,1.58,99.5,980015.CNI,2015-02-16,2024-04-03
87,CS稀金属,17.87,20.62,2.43,5.36,1.73,94.41,930632.CSI,2015-05-12,2024-04-03
88,创业板价值,27.23,20.63,2.3,8.1,1.54,98.03,399668.SZ,2013-01-07,2024-04-03
89,家用电器,15.51,20.73,2.65,7.24,2.59,56.23,930697.CSI,2015-07-07,2024-04-03
90,恒生中国企业指数,7.46,20.84,0.74,2.58,3.75,61.77,HSCEI.HI,1994-08-08,2024-04-01
91,银行(申万),5.0,20.88,0.47,4.48,5.28,77.89,801780.SI,2014-02-21,2024-04-03
92,物联网50,26.85,21.31,3.23,6.97,1.34,89.64,399285.SZ,2020-02-18,2024-04-03
93,细分有色,20.18,21.41,2.46,41.55,1.56,92.36,000811.CSI,2012-04-11,2024-04-03
94,500等权,22.04,21.5,1.65,8.34,1.85,90.83,000982.SH,2011-06-13,2024-04-03
95,全指医药,30.31,21.58,3.07,2.22,1.51,99.38,000991.SH,2011-08-02,2024-04-03
96,中证500,22.04,21.62,1.65,8.34,1.85,90.83,000905.SH,2007-01-15,2024-04-03
97,家用电器(申万),13.81,21.66,2.44,16.89,2.63,73.98,801110.SI,2003-10-16,2024-04-03
98,环保(申万),21.06,22.29,1.33,2.01,1.7,98.19,801970.SI,2021-12-13,2024-04-03
