,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
0,黄金ETF,518880,6.566,9976,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,190667.49,10587,11076,14117,17247,17999,286.76
1,纳指ETF,513100,1.56,9968,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,70069.58,9659,9576,11927,17450,21161,144.05
2,豆粕ETF,159985,1.967,9965,10000,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,44817.54,10298,10766,9995,13096,20881,41.93
3,科创50ETF,588000,1.161,9991,9990,宽基，中小盘，科创板,0.20%,华夏基金,2020-11-16,科创50指数,598626.64,11506,11110,14404,9000,10000,929.31
4,标普500ETF,513500,2.094,10000,10000,跨境，美国,0.80%,博时基金,2014-01-15,标准普尔500指数,22131.9,9536,9685,11932,16527,19326,158.38
5,创业板ETF,159915,2.191,9973,9995,宽基，中小盘,0.20%,易方达基金,2011-12-09,创业板指,317223.53,10804,10423,12858,7930,9982,915.0
6,恒生科技指数ETF,513180,0.786,10090,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,682303.39,12243,12864,17199,12536,10000,229.75
7,沪深300ETF,510300,4.022,10002,10001,宽基，大盘股,0.20%,华泰柏瑞基金,2012-05-28,沪深300指数,477682.46,10294,10000,11682,9140,10462,3596.27
8,医疗ETF,512170,0.349,10000,9981,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,99951.58,11222,10673,9887,6070,6686,250.79
9,机器人ETF,562500,1.014,10000,10008,主题，新兴产业，机器人,0.60%,华夏基金,2021-12-29,机器人指数,167780.42,12411,13033,14506,11602,10000,41.37
10,红利低波ETF,512890,1.072,10009,10009,策略，红利,0.60%,华泰柏瑞基金,2019-01-18,红利低波指数,39673.4,9772,9537,10752,13121,18923,137.5
11,中概互联网ETF,513050,1.45,10035,10000,跨境，中概股,0.80%,易方达基金,2017-01-18,中国互联网50指数,484098.02,12134,12436,16004,12642,9758,363.35
12,酒ETF,512690,0.584,10000,9990,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,89353.56,10246,9481,8835,6854,14028,125.52
13,香港证券ETF,513090,1.538,9935,10102,跨境，香港,0.20%,易方达基金,2020-03-26,香港证券港元指数,552563.44,10441,10378,15504,12979,10000,86.83
14,半导体ETF,512480,1.151,10000,10006,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,199532.66,11626,11407,16609,9922,9404,238.58
15,德国ETF,513030,1.717,10006,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,322463.28,10381,11982,13067,16557,15839,8.64
16,科创芯片ETF,588200,1.675,9976,10004,行业，半导体，芯片，科创板,0.60%,嘉实基金,2022-10-26,科创芯片指数,310514.18,11771,11441,17466,10000,10000,227.98
17,恒生ETF,159920,1.419,10014,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,138918.52,11379,11471,14362,12170,9556,190.8
18,消费ETF,159928,0.778,10000,10008,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,35144.7,10065,9523,9262,7060,10240,135.21
19,创业板50ETF,159949,0.99,10000,9993,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,121342.92,10703,10302,13488,7958,11593,298.87
20,游戏ETF,159869,1.233,10000,10017,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,51963.37,12269,12318,12518,13916,10000,54.14
21,红利ETF,510880,2.975,10000,10000,策略，红利,0.60%,华泰柏瑞基金,2007-01-18,红利指数,73186.93,9581,9292,10100,11954,14191,233.99
22,日经ETF,513520,1.454,9979,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,20032.53,9871,10000,9267,13513,13808,10.14
23,中证红利ETF,515080,1.466,9986,10006,策略，红利,0.30%,招商基金,2019-12-27,中证红利指数,25577.46,9670,9379,10242,11579,17806,65.95
24,东南亚科技ETF,513730,1.21,9918,10000,跨境，新加坡，东南亚,0.50%,华泰柏瑞基金,2023-12-01,新交所泛东南亚科技指数,19630.33,9265,8963,11886,10000,10000,26.6
25,恒生互联网ETF,513330,0.515,10078,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,654781.21,11894,12350,15653,9810,10000,270.42
26,金融科技ETF,159851,1.606,10000,10004,主题，金融科技,0.60%,华宝基金,2021-03-19,金融科技指数,70868.87,11809,11199,17195,14125,10000,46.7
27,恒生医疗ETF,513060,0.448,10022,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,250475.4,11667,11487,11517,7619,10000,142.16
28,中证1000ETF,512100,2.574,10000,10000,宽基，中小盘,0.20%,南方基金,2016-11-04,中证1000指数,158707.41,11019,10806,12399,8942,11434,538.73
29,法国CAC40ETF,513080,1.661,9952,10000,跨境，法国,0.65%,华安基金,2020-06-12,法国CAC40指数,562413.88,10253,11284,10349,13923,10000,6.01
30,恒生科技ETF,513130,0.769,10065,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,674381.7,12226,12903,17089,12343,10000,199.87
31,红利低波50ETF,515450,1.372,10051,10000,策略，低波动，红利,0.60%,南方基金,2020-02-26,标普中国A股大盘红利低波50指数,8881.55,9765,9541,11423,14080,10000,52.1
32,中证2000ETF,563300,1.126,9991,10022,宽基，中小盘,0.60%,华泰柏瑞基金,2023-09-14,中证2000指数,52922.72,11193,11083,12987,10000,10000,29.29
33,人工智能ETF,159819,1.08,10000,9994,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,104733.82,11960,11868,15276,11345,10000,85.15
34,证券ETF,512880,1.117,10000,9995,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,209047.44,10285,9547,12480,10930,10410,283.63
35,云计算ETF,516510,1.383,10000,10009,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,62897.37,12723,12539,16100,14619,10000,9.8
36,光伏ETF,515790,0.747,10000,10009,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,44380.29,10433,9868,9132,4879,10000,90.35
