,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,上证50ETF,510050,宽基，大盘股,205333.63,上证50,000016.SH,10.56,0.5480552070263488
1,上证180ETF,510180,宽基，大盘股,5763.94,上证180,000010.SH,10.87,0.4862017059708981
2,沪深300ETF,510300,宽基，大盘股,356081.52,沪深300,000300.SH,12.2,0.4377197388247112
3,A股ETF,563330,宽基，综合,2399.66,A股指数,000002,13.39,
4,800ETF,515800,宽基，综合,9473.38,中证800,000906.SH,13.48,0.4139488208730557
5,上证指数ETF,510210,宽基，综合,22647.0,上证指数,000001.SH,13.81,0.5008782936010038
6,中证100ETF基金,562000,宽基，大盘股,3596.28,中证100,000903.SH,14.1,0.8138484696437531
7,中证A50指数ETF,159593,,37789.3,中证A50,930050.CSI,16.85,
8,深证100ETF,159901,宽基，大盘股,10924.26,深证100,399330.SZ,20.02,0.34044154540893123
9,深成ETF,159903,宽基，综合,1256.4,深证成指,399001.SZ,22.88,0.4398996235884567
10,中证500ETF,510500,宽基，中小盘,219476.19,中证500,000905.SH,24.09,0.2531994981179423
11,创业大盘ETF,159814,宽基，中小盘,3606.14,创业大盘,399293,24.9121,
12,创业板50ETF,159949,宽基，中小盘,68606.0,创业板50,399673.SZ,25.67,0.0473421926910299
13,创业板ETF天弘,159977,宽基，中小盘,5130.21,创业板R,399606,26.641,
14,科创创业ETF,159781,宽基，中小盘,5630.93,科创创业50,931643.CSI,28.15,0.1792717086834734
15,创业板ETF,159915,宽基，中小盘,146757.61,创业板指,399006.SZ,28.88,0.048730064973419966
16,创业板200ETF华夏,159573,宽基，中小盘,2414.77,创业200,399019,35.7263,
17,中证1000ETF,512100,宽基，中小盘,133279.8,中证1000,000852.SH,39.06,0.49462827675118176
18,国证2000ETF,159628,宽基，中小盘,9335.7,国证2000,399303.SZ,39.31,0.32250203086921203
19,科创100指数ETF,588030,宽基，中小盘，科创板,64886.51,科创100,000698,40.64,
20,科创50ETF,588000,宽基，中小盘，科创板,199978.64,科创50,000688.SH,44.96,0.46161137440758293
21,创业板综ETF万家,159541,宽基，中小盘,2307.86,创业板综,399102.SZ,46.45,0.2140498348844191
22,中证2000ETF,563300,宽基，中小盘,16143.34,中证2000,932000.CSI,63.29,
