,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,银行ETF,512800,行业，金融，银行,27340.98,中证银行,399986.SZ,5.43,0.34333459931636917
1,红利低波ETF,512890,策略，红利,51586.33,红利低波,h30269.CSI,6.48,0.45310645033636726
2,红利低波100ETF,515100,策略，低波动，红利,16179.46,红利低波100,930955.CSI,6.53,0.3905325443786982
3,红利ETF,510880,策略，红利,44193.56,红利指数,000015,6.68,
4,金融ETF,510230,行业，金融,3013.21,180金融,000018.SH,6.75,0.2611640742599097
5,中证红利ETF,515080,策略，红利,20059.14,中证红利,000922.CSI,7.08,0.25773195876288657
6,基建ETF,516950,主题，基建,5365.96,中证基建,930608.CSI,8.1,0.08344609833107804
7,红利低波ETF基金,515300,策略，红利，低波动,3895.14,300红利LV,930740.CSI,8.11,0.8899012908124525
8,H股ETF,510900,跨境，香港，中概股,51410.94,恒生中国企业指数,HSCEI.HI,8.36,0.37842424242424244
9,基本面50ETF,512750,策略，价值,1205.08,基本面50,000925.CSI,8.68,0.3780784844384303
10,财富管理ETF,159503,主题，金融，理财,1041.09,财富管理,CN5074,8.6821,
11,恒生ETF,159920,跨境，香港,63194.27,恒生指数,HSI.HI,9.47,0.32096969696969696
12,MSCI中国A50ETF,560050,MSCI,19141.18,MSCI中国A50互联互通,746059.MI,11.0,0.6489221293444787
13,金融地产ETF,510650,行业，金融,1017.9,金融指数,399240,11.2925,
14,能源ETF,159930,行业，资源，能源,4186.82,中证能源,000928,11.75,
15,房地产ETF,512200,行业，金融，房地产,30690.21,地产指数,399241,12.7752,
16,煤炭ETF,515220,行业，煤炭，资源,24435.35,中证煤炭,399998.SZ,13.05,0.6697860962566845
17,油气ETF,159697,行业，石油，天然气,1157.97,国证油气,399439,13.0819,
18,资源ETF,510410,行业，资源,3889.6,上证资源,000068,13.14,
19,央企创新驱动ETF,515900,主题，央企,6805.66,央企创新,000861.CSI,13.2,0.5573905862923204
20,法国CAC40ETF,513080,跨境，法国,2250.2,法国CAC40,FCHI.GI,13.86,0.18824531516183987
